0.853 ± 0.008,84.588 ± 0.785
0.854 ± 0.010,84.970 ± 0.805
0.830 ± 0.011,82.314 ± 2.319
0.827 ± 0.014,82.153 ± 2.329
0.838 ± 0.011,83.320 ± 2.145
0.790 ± 0.033,78.793 ± 3.972
0.793 ± 0.033,78.833 ± 4.295
0.811 ± 0.025,80.584 ± 2.996
0.852 ± 0.011,84.869 ± 0.741
0.851 ± 0.013,84.769 ± 1.323
0.852 ± 0.011,85.191 ± 0.892
0.821 ± 0.010,81.730 ± 2.198
0.824 ± 0.012,82.314 ± 1.424
0.824 ± 0.014,82.394 ± 1.557
0.851 ± 0.011,84.708 ± 0.849
0.854 ± 0.010,84.970 ± 0.810
0.854 ± 0.011,85.111 ± 0.810
0.844 ± 0.009,84.547 ± 1.090
0.847 ± 0.011,84.688 ± 0.902
0.847 ± 0.011,84.748 ± 0.829
0.845 ± 0.011,84.004 ± 1.295
0.848 ± 0.008,84.225 ± 0.995
0.852 ± 0.007,84.728 ± 0.766
0.848 ± 0.009,84.547 ± 0.926
0.847 ± 0.009,84.648 ± 1.110
0.849 ± 0.009,84.769 ± 0.844
0.821 ± 0.013,81.952 ± 2.453
0.825 ± 0.015,81.891 ± 2.338
0.835 ± 0.014,83.441 ± 1.110
0.788 ± 0.040,78.330 ± 4.725
0.800 ± 0.034,80.141 ± 4.168
0.820 ± 0.022,82.093 ± 1.936
0.844 ± 0.008,84.547 ± 0.903
0.848 ± 0.012,84.668 ± 1.196
0.851 ± 0.010,85.171 ± 1.091
0.820 ± 0.011,81.328 ± 1.870
0.822 ± 0.015,81.831 ± 2.305
0.830 ± 0.014,82.535 ± 1.190
0.853 ± 0.008,84.909 ± 0.969
0.854 ± 0.009,85.151 ± 1.029
0.855 ± 0.010,85.171 ± 0.974
0.844 ± 0.009,84.507 ± 1.006
0.843 ± 0.010,84.467 ± 1.075
0.846 ± 0.009,84.668 ± 1.159
0.856 ± 0.008,85.010 ± 0.970
0.855 ± 0.008,85.070 ± 0.819
0.857 ± 0.008,85.211 ± 1.031
0.851 ± 0.007,84.527 ± 1.039
0.850 ± 0.005,84.748 ± 0.917
0.853 ± 0.007,84.809 ± 0.845
0.835 ± 0.010,82.918 ± 2.210
0.834 ± 0.015,83.300 ± 1.859
0.847 ± 0.009,85.010 ± 1.261
0.798 ± 0.033,79.638 ± 3.673
0.812 ± 0.032,81.308 ± 3.347
0.827 ± 0.015,82.596 ± 1.909
0.855 ± 0.009,85.312 ± 1.437
0.855 ± 0.008,85.553 ± 0.968
0.855 ± 0.010,85.915 ± 1.177
0.834 ± 0.010,83.179 ± 1.890
0.832 ± 0.009,83.099 ± 2.289
0.844 ± 0.014,84.688 ± 1.372
0.860 ± 0.008,85.915 ± 1.163
0.861 ± 0.008,86.117 ± 1.240
0.860 ± 0.009,86.056 ± 1.057
0.850 ± 0.010,85.252 ± 1.484
0.851 ± 0.008,85.171 ± 1.470
0.854 ± 0.008,85.453 ± 1.506
0.861 ± 0.008,85.936 ± 1.312
0.864 ± 0.007,86.278 ± 1.358
0.864 ± 0.007,86.338 ± 1.175
0.858 ± 0.008,85.694 ± 1.299
0.856 ± 0.008,85.634 ± 1.335
0.860 ± 0.008,85.694 ± 1.427
0.826 ± 0.015,82.314 ± 2.318
0.829 ± 0.015,82.616 ± 1.849
0.831 ± 0.009,82.777 ± 1.881
0.766 ± 0.029,77.022 ± 4.291
0.771 ± 0.036,76.922 ± 4.630
0.790 ± 0.035,79.155 ± 4.741
0.849 ± 0.009,84.909 ± 0.961
0.853 ± 0.008,85.433 ± 1.054
0.850 ± 0.011,85.171 ± 0.891
0.824 ± 0.010,82.274 ± 1.648
0.829 ± 0.011,82.374 ± 1.755
0.829 ± 0.013,82.233 ± 2.537
0.856 ± 0.009,85.895 ± 1.059
0.856 ± 0.008,85.855 ± 1.468
0.857 ± 0.009,86.076 ± 1.331
0.847 ± 0.009,84.950 ± 1.105
0.849 ± 0.010,85.111 ± 1.190
0.850 ± 0.008,85.191 ± 1.292
0.848 ± 0.011,85.211 ± 1.831
0.851 ± 0.010,85.473 ± 1.236
0.856 ± 0.010,85.372 ± 1.221
0.850 ± 0.009,85.231 ± 1.191
0.851 ± 0.011,85.252 ± 1.426
0.854 ± 0.010,85.614 ± 1.457
0.826 ± 0.017,82.354 ± 2.315
0.826 ± 0.017,82.374 ± 2.515
0.841 ± 0.009,83.803 ± 1.557
0.774 ± 0.042,77.384 ± 4.773
0.813 ± 0.026,81.469 ± 2.574
0.828 ± 0.012,82.837 ± 2.024
0.847 ± 0.011,85.091 ± 0.870
0.850 ± 0.009,85.151 ± 1.337
0.854 ± 0.010,85.493 ± 1.168
0.820 ± 0.014,81.650 ± 1.900
0.824 ± 0.012,81.911 ± 2.373
0.835 ± 0.014,83.642 ± 1.898
0.858 ± 0.009,85.835 ± 1.437
0.859 ± 0.010,86.016 ± 1.362
0.859 ± 0.006,86.097 ± 1.398
0.847 ± 0.008,84.950 ± 1.456
0.848 ± 0.010,85.010 ± 1.164
0.849 ± 0.011,85.352 ± 1.029
0.861 ± 0.009,86.076 ± 1.396
0.860 ± 0.009,86.197 ± 1.205
0.863 ± 0.011,86.177 ± 1.197
0.854 ± 0.009,85.654 ± 1.543
0.856 ± 0.008,85.573 ± 1.577
0.855 ± 0.007,85.915 ± 1.102
0.835 ± 0.017,83.340 ± 2.649
0.841 ± 0.007,84.044 ± 1.798
0.849 ± 0.011,85.050 ± 1.855
0.794 ± 0.043,79.296 ± 4.566
0.813 ± 0.032,81.408 ± 3.861
0.834 ± 0.019,82.998 ± 2.826
0.854 ± 0.008,85.312 ± 1.733
0.858 ± 0.009,85.795 ± 1.541
0.860 ± 0.009,85.915 ± 1.503
0.838 ± 0.007,83.541 ± 2.026
0.842 ± 0.011,84.145 ± 1.813
0.850 ± 0.011,85.292 ± 2.049
0.869 ± 0.009,86.459 ± 1.135
0.864 ± 0.008,86.700 ± 1.360
0.866 ± 0.009,86.519 ± 1.068
0.857 ± 0.007,85.795 ± 1.317
0.857 ± 0.009,85.674 ± 1.470
0.858 ± 0.008,86.097 ± 1.601
0.871 ± 0.009,87.384 ± 1.326
0.868 ± 0.009,86.922 ± 1.615
0.868 ± 0.008,86.962 ± 1.243
0.861 ± 0.009,85.996 ± 1.423
0.861 ± 0.010,86.278 ± 1.364
0.861 ± 0.007,86.419 ± 1.198
0.813 ± 0.032,81.771 ± 4.105
0.822 ± 0.028,82.173 ± 2.892
0.832 ± 0.034,82.877 ± 4.306
0.769 ± 0.050,77.163 ± 5.959
0.805 ± 0.045,80.463 ± 5.203
0.818 ± 0.050,82.314 ± 5.505
0.846 ± 0.010,84.245 ± 1.967
0.847 ± 0.008,84.567 ± 1.717
0.848 ± 0.008,85.372 ± 1.722
0.810 ± 0.020,80.644 ± 3.127
0.822 ± 0.022,81.630 ± 3.322
0.820 ± 0.024,81.871 ± 3.732
0.859 ± 0.007,86.197 ± 1.335
0.855 ± 0.007,85.573 ± 1.437
0.857 ± 0.010,85.775 ± 1.788
0.846 ± 0.009,84.427 ± 1.329
0.845 ± 0.008,84.145 ± 1.865
0.844 ± 0.009,84.809 ± 1.575
0.858 ± 0.011,86.036 ± 1.286
0.856 ± 0.009,85.956 ± 1.227
0.858 ± 0.008,85.956 ± 1.294
0.851 ± 0.008,85.231 ± 1.050
0.853 ± 0.011,85.614 ± 1.081
0.856 ± 0.009,85.533 ± 1.107
0.834 ± 0.021,83.561 ± 3.400
0.839 ± 0.012,83.924 ± 2.212
0.848 ± 0.012,84.930 ± 1.689
0.779 ± 0.042,78.390 ± 5.588
0.792 ± 0.048,79.074 ± 5.225
0.834 ± 0.021,83.038 ± 2.937
0.849 ± 0.012,84.628 ± 2.023
0.853 ± 0.007,84.608 ± 1.905
0.857 ± 0.011,86.056 ± 1.738
0.827 ± 0.017,82.193 ± 2.876
0.838 ± 0.016,83.360 ± 2.544
0.845 ± 0.009,84.326 ± 1.819
0.863 ± 0.011,86.237 ± 1.359
0.863 ± 0.008,86.177 ± 1.540
0.864 ± 0.011,86.539 ± 1.753
0.853 ± 0.006,84.829 ± 1.276
0.854 ± 0.009,85.292 ± 1.215
0.857 ± 0.008,85.674 ± 1.442
0.867 ± 0.010,86.881 ± 1.561
0.865 ± 0.008,86.640 ± 1.509
0.868 ± 0.008,86.700 ± 1.539
0.859 ± 0.008,85.936 ± 1.655
0.860 ± 0.009,86.258 ± 1.448
0.862 ± 0.010,86.097 ± 1.653
0.819 ± 0.015,81.247 ± 1.844
0.831 ± 0.012,82.596 ± 1.943
0.841 ± 0.015,84.085 ± 1.469
0.791 ± 0.039,79.054 ± 4.312
0.808 ± 0.025,80.765 ± 3.392
0.819 ± 0.022,81.771 ± 1.822
0.847 ± 0.009,84.487 ± 0.782
0.848 ± 0.011,84.648 ± 0.927
0.852 ± 0.009,85.010 ± 1.039
0.828 ± 0.013,82.455 ± 1.461
0.825 ± 0.017,82.636 ± 1.686
0.838 ± 0.015,83.561 ± 1.538
0.855 ± 0.009,85.070 ± 1.166
0.857 ± 0.009,85.050 ± 1.173
0.860 ± 0.009,85.412 ± 0.923
0.845 ± 0.009,84.044 ± 1.170
0.846 ± 0.009,84.527 ± 0.975
0.847 ± 0.011,84.608 ± 1.164
0.856 ± 0.009,85.111 ± 1.120
0.858 ± 0.009,85.010 ± 0.945
0.860 ± 0.008,85.372 ± 0.790
0.850 ± 0.006,84.547 ± 1.075
0.851 ± 0.007,84.748 ± 1.037
0.853 ± 0.008,85.131 ± 0.992
0.821 ± 0.014,81.871 ± 2.230
0.824 ± 0.011,82.093 ± 1.900
0.825 ± 0.016,81.972 ± 2.364
0.771 ± 0.035,77.002 ± 4.926
0.781 ± 0.039,77.404 ± 4.385
0.799 ± 0.034,79.920 ± 3.784
0.847 ± 0.011,84.567 ± 0.905
0.851 ± 0.008,84.809 ± 0.811
0.854 ± 0.007,85.211 ± 1.084
0.815 ± 0.008,81.569 ± 2.095
0.821 ± 0.011,81.610 ± 2.091
0.825 ± 0.009,82.193 ± 1.694
0.851 ± 0.010,85.010 ± 0.928
0.852 ± 0.010,85.010 ± 1.128
0.854 ± 0.009,84.950 ± 0.903
0.843 ± 0.012,84.225 ± 1.132
0.844 ± 0.012,84.547 ± 0.814
0.848 ± 0.010,84.588 ± 1.015
0.847 ± 0.008,84.326 ± 0.902
0.850 ± 0.006,84.588 ± 0.923
0.852 ± 0.008,84.849 ± 0.974
0.848 ± 0.008,84.547 ± 1.033
0.848 ± 0.008,84.869 ± 0.939
0.849 ± 0.009,84.869 ± 0.977
0.819 ± 0.018,81.227 ± 2.169
0.818 ± 0.019,81.529 ± 2.222
0.831 ± 0.012,83.018 ± 1.397
0.787 ± 0.041,78.129 ± 4.919
0.786 ± 0.040,78.209 ± 4.588
0.820 ± 0.019,82.012 ± 2.533
0.845 ± 0.010,84.588 ± 0.835
0.848 ± 0.012,84.588 ± 0.791
0.848 ± 0.009,84.909 ± 0.714
0.813 ± 0.012,81.227 ± 2.188
0.817 ± 0.013,81.207 ± 2.000
0.828 ± 0.014,82.314 ± 1.330
0.854 ± 0.008,85.151 ± 1.005
0.853 ± 0.010,85.272 ± 0.997
0.855 ± 0.010,85.352 ± 0.908
0.844 ± 0.011,84.306 ± 1.049
0.845 ± 0.009,84.326 ± 0.988
0.846 ± 0.010,84.467 ± 1.145
0.854 ± 0.009,84.990 ± 0.970
0.854 ± 0.007,85.030 ± 0.999
0.857 ± 0.007,85.372 ± 0.830
0.851 ± 0.008,84.567 ± 0.913
0.850 ± 0.006,84.708 ± 0.834
0.851 ± 0.007,84.889 ± 0.846
0.827 ± 0.014,82.656 ± 2.176
0.836 ± 0.012,83.038 ± 2.645
0.842 ± 0.013,84.346 ± 1.693
0.781 ± 0.045,78.692 ± 5.111
0.799 ± 0.043,79.940 ± 4.382
0.836 ± 0.014,83.260 ± 1.804
0.854 ± 0.005,85.533 ± 1.043
0.854 ± 0.007,85.231 ± 1.073
0.857 ± 0.006,85.634 ± 1.575
0.835 ± 0.010,83.038 ± 2.169
0.834 ± 0.009,83.078 ± 1.696
0.844 ± 0.012,84.527 ± 1.398
0.859 ± 0.011,85.855 ± 1.411
0.859 ± 0.009,86.157 ± 1.464
0.860 ± 0.008,86.499 ± 1.336
0.848 ± 0.010,85.131 ± 1.547
0.851 ± 0.008,84.990 ± 1.409
0.854 ± 0.008,85.171 ± 1.377
0.863 ± 0.010,85.875 ± 1.408
0.862 ± 0.008,86.217 ± 1.418
0.863 ± 0.008,86.398 ± 1.383
0.856 ± 0.008,85.453 ± 1.420
0.857 ± 0.009,85.614 ± 1.463
0.857 ± 0.009,85.835 ± 1.426
0.819 ± 0.015,82.012 ± 2.319
0.822 ± 0.017,81.469 ± 2.656
0.832 ± 0.009,82.716 ± 2.140
0.768 ± 0.040,76.579 ± 4.620
0.775 ± 0.036,77.928 ± 4.176
0.794 ± 0.037,78.974 ± 4.511
0.848 ± 0.009,85.111 ± 0.774
0.850 ± 0.008,85.493 ± 1.154
0.850 ± 0.010,85.091 ± 1.192
0.823 ± 0.013,82.173 ± 1.862
0.825 ± 0.012,82.515 ± 1.895
0.827 ± 0.013,82.897 ± 1.840
0.855 ± 0.009,85.755 ± 1.269
0.853 ± 0.006,85.875 ± 1.352
0.857 ± 0.010,85.755 ± 1.037
0.846 ± 0.011,84.728 ± 1.154
0.848 ± 0.008,84.869 ± 1.021
0.851 ± 0.009,85.050 ± 1.191
0.849 ± 0.008,85.111 ± 2.199
0.850 ± 0.008,85.332 ± 1.570
0.858 ± 0.011,85.976 ± 1.434
0.850 ± 0.008,85.292 ± 1.171
0.853 ± 0.008,85.292 ± 1.324
0.852 ± 0.008,85.352 ± 1.278
0.826 ± 0.015,82.394 ± 2.391
0.826 ± 0.016,82.233 ± 3.105
0.839 ± 0.011,83.581 ± 2.023
0.769 ± 0.042,76.660 ± 4.745
0.797 ± 0.036,80.000 ± 4.069
0.827 ± 0.013,82.676 ± 2.339
0.847 ± 0.008,84.909 ± 1.388
0.848 ± 0.012,84.809 ± 1.496
0.851 ± 0.011,85.473 ± 1.361
0.820 ± 0.014,81.630 ± 1.881
0.824 ± 0.014,82.354 ± 2.326
0.829 ± 0.012,82.857 ± 2.667
0.859 ± 0.010,86.016 ± 1.474
0.858 ± 0.008,86.217 ± 1.530
0.860 ± 0.009,86.318 ± 1.440
0.847 ± 0.009,84.909 ± 1.180
0.846 ± 0.008,84.748 ± 1.101
0.850 ± 0.008,85.171 ± 1.224
0.860 ± 0.008,86.097 ± 1.222
0.861 ± 0.008,86.137 ± 1.202
0.861 ± 0.009,86.539 ± 1.502
0.853 ± 0.007,85.614 ± 1.323
0.853 ± 0.008,85.634 ± 1.504
0.856 ± 0.008,85.915 ± 1.365
0.836 ± 0.023,83.139 ± 2.785
0.843 ± 0.015,83.984 ± 1.323
0.855 ± 0.010,85.533 ± 1.708
0.779 ± 0.039,78.068 ± 4.537
0.817 ± 0.035,81.791 ± 4.340
0.837 ± 0.019,83.441 ± 1.969
0.854 ± 0.011,85.211 ± 1.277
0.858 ± 0.011,85.594 ± 1.392
0.862 ± 0.010,86.318 ± 1.691
0.837 ± 0.012,83.159 ± 1.988
0.841 ± 0.015,83.823 ± 1.871
0.849 ± 0.013,84.970 ± 2.004
0.863 ± 0.012,86.298 ± 1.215
0.864 ± 0.008,86.439 ± 1.099
