0.733 ± 0.026,74.518 ± 2.596
0.760 ± 0.016,77.500 ± 1.395
0.753 ± 0.019,76.316 ± 1.603
0.741 ± 0.019,75.175 ± 2.064
0.761 ± 0.016,77.719 ± 1.165
0.753 ± 0.019,77.193 ± 1.541
0.745 ± 0.024,76.075 ± 1.750
0.767 ± 0.014,77.610 ± 1.054
0.762 ± 0.014,77.566 ± 1.019
0.756 ± 0.014,76.469 ± 1.442
0.768 ± 0.013,78.333 ± 1.037
0.768 ± 0.014,78.070 ± 1.323
0.761 ± 0.018,77.390 ± 1.453
0.714 ± 0.022,72.083 ± 1.889
0.695 ± 0.020,69.759 ± 2.295
0.678 ± 0.027,69.013 ± 2.325
0.745 ± 0.028,76.206 ± 2.037
0.737 ± 0.026,74.803 ± 1.872
0.719 ± 0.024,72.961 ± 2.147
0.725 ± 0.020,73.246 ± 1.629
0.712 ± 0.024,71.754 ± 2.628
0.706 ± 0.024,71.645 ± 2.567
0.751 ± 0.021,76.535 ± 1.193
0.735 ± 0.029,74.803 ± 2.541
0.710 ± 0.029,71.601 ± 2.437
0.732 ± 0.020,74.013 ± 1.691
0.727 ± 0.016,73.246 ± 1.445
0.715 ± 0.020,72.873 ± 1.824
0.750 ± 0.018,76.579 ± 1.684
0.739 ± 0.024,75.241 ± 1.631
0.723 ± 0.022,72.961 ± 2.055
0.757 ± 0.013,76.798 ± 1.454
0.753 ± 0.012,75.987 ± 1.830
0.745 ± 0.016,74.868 ± 1.582
0.756 ± 0.019,77.039 ± 1.507
0.748 ± 0.018,76.557 ± 1.120
0.735 ± 0.017,74.978 ± 1.802
0.675 ± 0.032,68.092 ± 3.625
0.669 ± 0.028,68.004 ± 3.239
0.664 ± 0.023,67.193 ± 2.716
0.743 ± 0.040,75.351 ± 3.410
0.724 ± 0.042,73.531 ± 3.882
0.707 ± 0.026,71.557 ± 3.317
0.710 ± 0.030,71.930 ± 3.173
0.686 ± 0.036,69.846 ± 3.670
0.696 ± 0.024,70.351 ± 2.565
0.743 ± 0.034,75.789 ± 2.983
0.719 ± 0.038,73.377 ± 3.175
0.697 ± 0.032,70.219 ± 3.383
0.727 ± 0.025,73.443 ± 2.821
0.703 ± 0.024,71.118 ± 2.722
0.689 ± 0.025,69.825 ± 2.844
0.747 ± 0.033,76.601 ± 2.866
0.734 ± 0.036,74.298 ± 3.477
0.704 ± 0.037,71.053 ± 2.686
0.737 ± 0.020,75.000 ± 1.840
0.716 ± 0.027,72.500 ± 2.239
0.694 ± 0.025,69.978 ± 2.389
0.750 ± 0.023,76.667 ± 2.124
0.743 ± 0.028,75.768 ± 1.979
0.722 ± 0.024,72.829 ± 2.688
0.698 ± 0.027,70.154 ± 2.872
0.678 ± 0.030,68.772 ± 2.450
0.662 ± 0.024,67.281 ± 2.370
0.746 ± 0.023,75.943 ± 1.932
0.727 ± 0.038,74.013 ± 3.148
0.717 ± 0.027,72.522 ± 2.319
0.714 ± 0.023,71.667 ± 3.026
0.707 ± 0.026,71.469 ± 2.761
0.699 ± 0.024,70.614 ± 2.559
0.747 ± 0.023,76.031 ± 1.866
0.729 ± 0.035,73.662 ± 2.735
0.704 ± 0.040,71.206 ± 3.265
0.725 ± 0.021,73.925 ± 1.558
0.719 ± 0.019,73.004 ± 1.862
0.711 ± 0.015,72.039 ± 1.895
0.747 ± 0.022,76.053 ± 2.329
0.731 ± 0.036,74.276 ± 2.923
0.715 ± 0.028,72.259 ± 2.657
0.754 ± 0.014,76.469 ± 1.494
0.747 ± 0.016,76.118 ± 1.831
0.735 ± 0.011,74.649 ± 1.798
0.755 ± 0.021,76.864 ± 1.937
0.746 ± 0.020,75.768 ± 1.662
0.733 ± 0.016,74.276 ± 1.523
0.677 ± 0.025,69.101 ± 2.757
0.660 ± 0.024,67.061 ± 2.121
0.651 ± 0.019,66.272 ± 2.137
0.712 ± 0.026,72.281 ± 2.668
0.690 ± 0.035,69.386 ± 2.762
0.671 ± 0.025,68.070 ± 2.286
0.702 ± 0.019,70.833 ± 2.277
0.701 ± 0.014,71.338 ± 1.245
0.692 ± 0.014,70.768 ± 2.175
0.723 ± 0.022,73.114 ± 2.284
0.698 ± 0.028,70.592 ± 2.054
0.676 ± 0.018,68.969 ± 2.204
0.716 ± 0.017,72.873 ± 1.047
0.711 ± 0.017,72.083 ± 1.271
0.704 ± 0.013,71.404 ± 1.682
0.722 ± 0.025,73.004 ± 1.965
0.716 ± 0.026,72.018 ± 2.478
0.701 ± 0.020,71.184 ± 1.872
0.729 ± 0.009,74.189 ± 1.585
0.725 ± 0.010,73.443 ± 1.849
0.715 ± 0.014,71.930 ± 1.497
0.730 ± 0.012,73.816 ± 1.435
0.720 ± 0.016,72.588 ± 1.510
0.714 ± 0.011,72.456 ± 1.080
0.662 ± 0.028,67.149 ± 3.923
0.651 ± 0.024,66.118 ± 2.528
0.640 ± 0.015,65.395 ± 2.513
0.659 ± 0.047,65.855 ± 4.139
0.638 ± 0.045,64.474 ± 3.679
0.637 ± 0.029,64.693 ± 2.844
0.685 ± 0.013,69.649 ± 2.138
0.681 ± 0.011,68.443 ± 2.429
0.674 ± 0.015,68.399 ± 2.930
