0.717 ± 0.011,71.891 ± 2.241
0.722 ± 0.013,72.173 ± 2.105
0.722 ± 0.011,72.535 ± 1.879
0.707 ± 0.012,70.905 ± 2.152
0.705 ± 0.012,70.845 ± 1.827
0.715 ± 0.013,71.207 ± 2.111
0.722 ± 0.013,72.495 ± 1.870
0.725 ± 0.015,72.596 ± 1.983
0.726 ± 0.013,72.696 ± 2.193
0.708 ± 0.013,71.107 ± 2.403
0.713 ± 0.013,71.087 ± 2.141
0.715 ± 0.011,71.489 ± 2.002
0.736 ± 0.016,73.421 ± 1.825
0.738 ± 0.011,73.843 ± 2.521
0.744 ± 0.014,73.944 ± 1.955
0.719 ± 0.014,71.871 ± 2.461
0.723 ± 0.015,72.012 ± 2.499
0.728 ± 0.015,72.314 ± 2.373
0.687 ± 0.016,68.773 ± 2.584
0.696 ± 0.013,69.879 ± 2.681
0.706 ± 0.014,70.443 ± 2.950
0.671 ± 0.012,67.626 ± 2.147
0.678 ± 0.012,68.290 ± 2.214
0.686 ± 0.012,68.934 ± 2.273
0.695 ± 0.021,70.080 ± 3.078
0.706 ± 0.019,70.845 ± 3.178
0.724 ± 0.015,72.575 ± 2.563
0.673 ± 0.016,67.867 ± 2.315
0.683 ± 0.014,68.994 ± 2.455
0.693 ± 0.013,69.577 ± 1.975
0.688 ± 0.019,69.256 ± 2.878
0.702 ± 0.018,70.684 ± 3.279
0.718 ± 0.018,72.716 ± 2.934
0.668 ± 0.019,67.686 ± 1.984
0.681 ± 0.016,68.753 ± 2.369
0.700 ± 0.013,71.006 ± 2.778
0.713 ± 0.018,71.630 ± 2.753
0.717 ± 0.021,72.354 ± 3.393
0.727 ± 0.019,73.260 ± 3.196
0.672 ± 0.013,67.485 ± 1.775
0.677 ± 0.014,68.008 ± 1.644
0.688 ± 0.010,69.175 ± 2.083
0.687 ± 0.010,68.732 ± 2.627
0.688 ± 0.013,69.738 ± 2.707
0.702 ± 0.012,70.443 ± 2.486
0.672 ± 0.013,67.404 ± 2.394
0.678 ± 0.011,67.907 ± 2.619
0.683 ± 0.012,68.672 ± 2.016
0.689 ± 0.020,69.517 ± 3.061
0.699 ± 0.021,70.040 ± 2.805
0.711 ± 0.016,71.449 ± 2.440
0.673 ± 0.015,67.606 ± 2.406
0.680 ± 0.013,68.612 ± 2.650
0.687 ± 0.011,69.336 ± 2.386
0.682 ± 0.015,68.149 ± 2.415
0.685 ± 0.021,69.115 ± 2.920
0.706 ± 0.023,71.630 ± 2.714
0.671 ± 0.013,67.364 ± 1.772
0.679 ± 0.017,68.632 ± 2.659
0.693 ± 0.015,70.040 ± 2.465
0.681 ± 0.028,68.068 ± 3.203
0.676 ± 0.020,67.767 ± 1.973
0.687 ± 0.018,68.974 ± 2.278
0.655 ± 0.019,65.694 ± 2.356
0.661 ± 0.021,66.237 ± 2.581
0.674 ± 0.012,67.726 ± 2.500
0.684 ± 0.017,68.934 ± 2.560
0.693 ± 0.015,69.759 ± 2.950
0.701 ± 0.012,70.563 ± 3.048
0.670 ± 0.015,67.686 ± 1.901
0.679 ± 0.014,68.410 ± 2.453
0.684 ± 0.011,68.934 ± 2.536
0.686 ± 0.022,69.618 ± 2.978
0.702 ± 0.020,70.785 ± 3.126
0.714 ± 0.017,72.414 ± 2.843
0.673 ± 0.017,68.089 ± 2.279
0.680 ± 0.015,68.531 ± 2.410
0.689 ± 0.012,69.537 ± 2.433
0.682 ± 0.020,68.431 ± 3.086
0.693 ± 0.024,70.141 ± 3.220
0.716 ± 0.021,72.233 ± 3.133
0.670 ± 0.016,67.505 ± 1.879
0.687 ± 0.018,69.235 ± 2.930
0.698 ± 0.016,70.423 ± 2.717
0.719 ± 0.018,72.113 ± 2.335
0.724 ± 0.021,72.535 ± 2.698
0.733 ± 0.017,73.461 ± 2.552
0.665 ± 0.019,66.459 ± 2.271
0.668 ± 0.016,67.264 ± 2.253
0.682 ± 0.016,68.913 ± 2.590
0.702 ± 0.011,70.382 ± 2.466
0.707 ± 0.013,70.966 ± 2.341
0.714 ± 0.010,71.066 ± 2.012
0.688 ± 0.013,69.054 ± 2.501
0.692 ± 0.010,69.618 ± 2.614
0.696 ± 0.014,70.080 ± 1.917
0.708 ± 0.013,71.006 ± 2.665
0.713 ± 0.014,71.730 ± 2.263
0.723 ± 0.007,72.294 ± 2.248
0.690 ± 0.014,69.477 ± 2.591
0.699 ± 0.013,70.101 ± 2.280
0.700 ± 0.014,70.744 ± 2.141
0.711 ± 0.011,71.952 ± 2.746
0.723 ± 0.010,72.575 ± 2.620
0.733 ± 0.012,73.843 ± 1.930
0.692 ± 0.010,69.859 ± 2.456
0.702 ± 0.010,70.262 ± 2.513
0.711 ± 0.011,71.147 ± 2.476
0.733 ± 0.013,73.581 ± 2.515
0.737 ± 0.008,74.064 ± 1.787
0.746 ± 0.012,74.970 ± 2.340
0.698 ± 0.010,70.463 ± 1.649
0.703 ± 0.008,70.986 ± 1.850
0.709 ± 0.009,71.288 ± 2.186
0.710 ± 0.010,70.805 ± 2.190
0.713 ± 0.010,71.227 ± 2.193
0.717 ± 0.010,71.449 ± 2.067
0.689 ± 0.010,69.276 ± 2.408
0.691 ± 0.010,69.336 ± 2.141
0.699 ± 0.010,70.101 ± 2.139
0.711 ± 0.011,71.147 ± 2.561
0.716 ± 0.011,71.187 ± 2.466
0.720 ± 0.013,71.831 ± 2.215
0.694 ± 0.014,69.779 ± 2.439
0.695 ± 0.009,69.738 ± 2.323
0.701 ± 0.012,70.282 ± 2.165
0.710 ± 0.012,71.006 ± 2.595
0.719 ± 0.013,71.328 ± 2.820
0.720 ± 0.012,71.972 ± 2.341
0.693 ± 0.009,69.658 ± 2.475
0.696 ± 0.012,70.000 ± 2.649
0.703 ± 0.012,70.604 ± 2.449
0.709 ± 0.011,70.905 ± 2.217
0.713 ± 0.012,71.388 ± 2.233
0.720 ± 0.013,71.972 ± 2.524
0.696 ± 0.013,69.819 ± 2.150
0.697 ± 0.013,69.698 ± 2.415
0.700 ± 0.012,70.161 ± 2.186
0.700 ± 0.012,70.342 ± 2.223
0.707 ± 0.013,70.362 ± 2.275
0.712 ± 0.013,71.006 ± 2.304
0.684 ± 0.015,68.773 ± 2.034
0.689 ± 0.012,69.175 ± 2.222
0.692 ± 0.011,70.000 ± 1.895
