0.897 ± 0.004,89.336 ± 0.321
0.895 ± 0.005,89.173 ± 0.360
0.896 ± 0.004,89.389 ± 0.356
0.896 ± 0.003,89.407 ± 0.480
0.894 ± 0.006,89.166 ± 0.406
0.895 ± 0.005,89.158 ± 0.388
0.896 ± 0.005,89.386 ± 0.384
0.896 ± 0.004,89.348 ± 0.384
0.896 ± 0.004,89.389 ± 0.346
0.897 ± 0.004,89.498 ± 0.347
0.896 ± 0.004,89.422 ± 0.457
0.896 ± 0.005,89.389 ± 0.357
0.897 ± 0.005,89.402 ± 0.381
0.896 ± 0.004,89.430 ± 0.474
0.896 ± 0.004,89.528 ± 0.488
0.897 ± 0.004,89.501 ± 0.456
0.897 ± 0.005,89.460 ± 0.352
0.898 ± 0.004,89.594 ± 0.467
0.897 ± 0.004,89.455 ± 0.369
0.897 ± 0.004,89.508 ± 0.488
0.897 ± 0.004,89.551 ± 0.448
0.897 ± 0.004,89.501 ± 0.384
0.897 ± 0.004,89.569 ± 0.476
0.898 ± 0.004,89.574 ± 0.467
0.896 ± 0.003,89.440 ± 0.437
0.895 ± 0.005,89.146 ± 0.495
0.895 ± 0.005,89.346 ± 0.526
0.898 ± 0.005,89.541 ± 0.547
0.894 ± 0.005,89.123 ± 0.324
0.896 ± 0.004,89.209 ± 0.467
0.898 ± 0.004,89.371 ± 0.502
0.894 ± 0.004,89.280 ± 0.431
0.895 ± 0.005,89.511 ± 0.581
0.896 ± 0.003,89.556 ± 0.390
0.893 ± 0.005,89.087 ± 0.459
0.895 ± 0.004,89.384 ± 0.444
0.896 ± 0.004,89.501 ± 0.338
0.896 ± 0.004,89.343 ± 0.463
0.896 ± 0.004,89.498 ± 0.484
0.897 ± 0.004,89.602 ± 0.565
0.895 ± 0.004,89.295 ± 0.367
0.896 ± 0.004,89.424 ± 0.369
0.897 ± 0.004,89.511 ± 0.517
0.896 ± 0.004,89.364 ± 0.613
0.896 ± 0.003,89.493 ± 0.529
0.898 ± 0.004,89.511 ± 0.489
0.896 ± 0.004,89.397 ± 0.431
0.896 ± 0.003,89.556 ± 0.541
0.898 ± 0.003,89.625 ± 0.537
0.892 ± 0.005,88.958 ± 0.430
0.894 ± 0.004,89.234 ± 0.399
0.896 ± 0.005,89.384 ± 0.414
0.894 ± 0.005,89.148 ± 0.459
0.894 ± 0.008,89.052 ± 0.553
0.896 ± 0.005,89.277 ± 0.386
0.892 ± 0.004,88.945 ± 0.402
0.893 ± 0.005,89.067 ± 0.451
0.894 ± 0.004,89.186 ± 0.402
0.893 ± 0.005,89.067 ± 0.463
0.895 ± 0.005,89.244 ± 0.597
0.898 ± 0.004,89.599 ± 0.474
0.893 ± 0.004,89.016 ± 0.344
0.894 ± 0.004,89.082 ± 0.420
0.894 ± 0.004,89.123 ± 0.430
0.894 ± 0.005,89.039 ± 0.446
0.895 ± 0.003,89.282 ± 0.431
0.896 ± 0.005,89.351 ± 0.667
0.893 ± 0.005,89.085 ± 0.329
0.893 ± 0.004,89.125 ± 0.330
0.894 ± 0.005,89.211 ± 0.486
0.894 ± 0.003,89.255 ± 0.332
0.895 ± 0.005,89.399 ± 0.433
0.897 ± 0.004,89.404 ± 0.519
0.895 ± 0.004,89.158 ± 0.492
0.896 ± 0.005,89.338 ± 0.459
0.897 ± 0.005,89.404 ± 0.587
0.895 ± 0.005,88.968 ± 0.405
0.896 ± 0.005,89.260 ± 0.534
0.897 ± 0.005,89.331 ± 0.453
