0.450 ± 0.020,44.649 ± 2.498
0.453 ± 0.015,45.303 ± 1.980
0.467 ± 0.022,46.619 ± 2.284
0.434 ± 0.016,43.852 ± 2.314
0.437 ± 0.019,43.900 ± 2.371
0.439 ± 0.017,44.169 ± 2.240
0.439 ± 0.015,43.410 ± 1.676
0.448 ± 0.018,44.323 ± 1.864
0.461 ± 0.020,45.533 ± 2.400
0.441 ± 0.011,44.025 ± 1.603
0.453 ± 0.017,44.669 ± 1.679
0.455 ± 0.013,45.226 ± 1.530
0.474 ± 0.013,47.099 ± 1.269
0.476 ± 0.016,47.099 ± 1.766
0.471 ± 0.011,46.686 ± 1.748
0.436 ± 0.010,43.093 ± 1.551
0.436 ± 0.012,43.266 ± 1.622
0.443 ± 0.008,43.650 ± 1.283
0.495 ± 0.010,49.001 ± 1.628
0.492 ± 0.009,49.203 ± 1.898
0.490 ± 0.012,48.684 ± 1.783
0.470 ± 0.004,47.012 ± 1.186
0.470 ± 0.011,46.820 ± 1.630
0.465 ± 0.008,46.676 ± 1.718
0.456 ± 0.022,45.504 ± 2.793
0.466 ± 0.029,46.494 ± 3.339
0.467 ± 0.021,46.926 ± 2.395
0.432 ± 0.024,43.439 ± 3.280
0.430 ± 0.019,43.237 ± 2.550
0.430 ± 0.024,43.449 ± 3.208
0.443 ± 0.017,43.852 ± 2.313
0.448 ± 0.014,44.419 ± 2.825
0.458 ± 0.026,45.725 ± 3.021
0.442 ± 0.019,44.553 ± 1.877
0.447 ± 0.015,44.851 ± 2.123
0.454 ± 0.019,45.447 ± 2.533
0.457 ± 0.012,45.504 ± 1.645
0.454 ± 0.012,44.745 ± 2.149
0.455 ± 0.014,45.533 ± 2.207
0.425 ± 0.009,42.181 ± 1.737
0.427 ± 0.016,42.526 ± 1.697
0.433 ± 0.020,43.516 ± 2.620
0.468 ± 0.009,46.792 ± 2.247
0.464 ± 0.006,46.158 ± 2.032
0.461 ± 0.011,45.533 ± 2.072
0.452 ± 0.009,45.235 ± 1.909
0.452 ± 0.008,45.370 ± 1.544
0.444 ± 0.007,44.284 ± 2.283
0.458 ± 0.019,45.850 ± 2.897
0.452 ± 0.017,45.091 ± 2.367
0.461 ± 0.026,46.263 ± 2.725
0.426 ± 0.019,42.546 ± 2.119
0.436 ± 0.016,43.612 ± 1.560
0.435 ± 0.020,43.506 ± 2.367
0.435 ± 0.017,42.882 ± 1.788
0.442 ± 0.019,43.670 ± 2.088
0.458 ± 0.022,44.813 ± 3.599
0.439 ± 0.022,43.862 ± 2.613
0.446 ± 0.021,44.121 ± 2.359
0.453 ± 0.019,44.909 ± 2.281
0.467 ± 0.010,46.302 ± 1.887
0.472 ± 0.015,46.340 ± 2.341
0.470 ± 0.016,46.744 ± 2.099
0.433 ± 0.012,43.266 ± 1.768
0.438 ± 0.016,43.151 ± 1.428
0.439 ± 0.010,43.506 ± 1.425
0.492 ± 0.007,49.059 ± 2.094
0.487 ± 0.012,48.722 ± 2.178
0.489 ± 0.013,48.405 ± 2.216
0.465 ± 0.007,46.244 ± 1.615
0.468 ± 0.011,46.427 ± 1.992
0.460 ± 0.008,45.927 ± 1.662
0.451 ± 0.035,45.120 ± 3.434
0.474 ± 0.016,47.041 ± 2.372
0.481 ± 0.018,47.992 ± 2.288
0.423 ± 0.035,42.315 ± 3.899
0.445 ± 0.019,44.870 ± 2.275
0.457 ± 0.023,45.591 ± 2.692
0.454 ± 0.017,45.043 ± 2.582
0.458 ± 0.023,45.706 ± 2.665
0.467 ± 0.026,46.234 ± 3.671
0.450 ± 0.013,44.890 ± 2.513
0.454 ± 0.012,45.399 ± 2.100
0.461 ± 0.019,46.081 ± 1.648
0.442 ± 0.018,43.228 ± 2.342
0.440 ± 0.020,43.410 ± 2.025
0.449 ± 0.017,44.457 ± 2.270
0.437 ± 0.021,43.401 ± 1.903
0.446 ± 0.015,44.044 ± 1.466
0.449 ± 0.015,44.707 ± 2.338
0.480 ± 0.020,46.849 ± 2.575
0.472 ± 0.018,46.359 ± 1.793
0.472 ± 0.017,46.571 ± 1.944
0.452 ± 0.012,44.947 ± 2.022
0.455 ± 0.011,44.861 ± 1.915
0.456 ± 0.014,44.899 ± 1.935
0.447 ± 0.014,44.188 ± 2.584
0.442 ± 0.022,44.688 ± 2.973
0.459 ± 0.025,45.879 ± 3.111
0.405 ± 0.036,40.538 ± 3.479
0.423 ± 0.027,42.200 ± 3.712
0.456 ± 0.033,45.889 ± 3.428
0.456 ± 0.017,45.005 ± 2.193
0.456 ± 0.016,45.139 ± 1.962
0.469 ± 0.022,47.012 ± 3.002
0.444 ± 0.017,44.476 ± 1.459
0.453 ± 0.021,45.581 ± 3.060
0.458 ± 0.015,45.908 ± 1.937
0.447 ± 0.013,44.179 ± 1.811
0.461 ± 0.015,45.802 ± 1.789
0.470 ± 0.015,46.734 ± 2.009
0.454 ± 0.013,45.014 ± 1.908
0.453 ± 0.016,45.648 ± 2.605
0.470 ± 0.013,46.840 ± 1.900
0.451 ± 0.012,44.774 ± 1.842
0.468 ± 0.011,46.436 ± 1.714
0.477 ± 0.013,47.608 ± 2.009
0.446 ± 0.014,44.467 ± 1.784
0.454 ± 0.018,45.197 ± 1.674
0.464 ± 0.016,46.013 ± 1.442
0.466 ± 0.023,46.590 ± 3.310
0.470 ± 0.020,47.329 ± 3.194
0.473 ± 0.024,47.752 ± 3.196
0.405 ± 0.032,40.173 ± 3.119
0.436 ± 0.031,43.756 ± 3.204
0.456 ± 0.024,45.754 ± 2.830
0.459 ± 0.024,45.735 ± 2.419
0.470 ± 0.019,46.609 ± 2.928
0.470 ± 0.017,46.753 ± 2.701
0.443 ± 0.021,44.102 ± 1.647
0.454 ± 0.020,45.139 ± 2.166
0.461 ± 0.018,45.648 ± 2.462
