0.659 ± 0.025,65.389 ± 2.995
0.677 ± 0.017,67.205 ± 2.586
0.687 ± 0.023,68.674 ± 3.223
0.676 ± 0.014,67.012 ± 2.174
0.670 ± 0.023,65.985 ± 2.247
0.663 ± 0.020,65.668 ± 2.167
0.677 ± 0.049,67.224 ± 5.049
0.702 ± 0.019,69.721 ± 2.267
0.698 ± 0.017,69.577 ± 2.360
0.668 ± 0.029,65.812 ± 3.362
0.662 ± 0.018,65.379 ± 2.199
0.657 ± 0.014,65.091 ± 2.616
0.697 ± 0.015,69.270 ± 2.182
0.694 ± 0.020,69.107 ± 1.832
0.686 ± 0.012,67.906 ± 2.065
0.681 ± 0.016,67.301 ± 1.757
0.679 ± 0.019,66.964 ± 1.847
0.669 ± 0.015,66.292 ± 2.065
0.704 ± 0.013,69.846 ± 2.453
0.694 ± 0.018,68.607 ± 2.286
0.676 ± 0.017,66.830 ± 1.648
0.699 ± 0.010,68.905 ± 1.739
0.694 ± 0.011,68.348 ± 1.713
0.688 ± 0.009,68.050 ± 1.910
0.709 ± 0.014,69.971 ± 1.716
0.696 ± 0.014,68.598 ± 2.273
0.685 ± 0.016,67.397 ± 1.880
0.608 ± 0.047,60.865 ± 5.208
0.636 ± 0.055,62.930 ± 5.887
0.665 ± 0.053,66.398 ± 4.409
0.619 ± 0.074,61.556 ± 6.804
0.620 ± 0.078,61.777 ± 6.987
0.629 ± 0.081,62.584 ± 7.195
0.653 ± 0.043,64.957 ± 4.614
0.654 ± 0.048,64.697 ± 4.894
0.678 ± 0.041,67.752 ± 3.483
0.639 ± 0.051,63.737 ± 5.233
0.675 ± 0.062,67.310 ± 5.311
0.676 ± 0.055,67.128 ± 5.818
0.731 ± 0.010,72.872 ± 2.188
0.725 ± 0.019,72.200 ± 2.394
0.700 ± 0.035,69.837 ± 3.138
0.705 ± 0.047,70.096 ± 4.743
0.710 ± 0.037,70.836 ± 3.429
0.682 ± 0.040,67.935 ± 3.563
0.730 ± 0.011,72.930 ± 2.195
0.728 ± 0.011,72.315 ± 1.981
0.719 ± 0.013,71.739 ± 1.872
0.733 ± 0.010,72.968 ± 1.996
0.734 ± 0.009,72.988 ± 2.133
0.715 ± 0.025,70.817 ± 2.807
0.655 ± 0.049,64.467 ± 4.584
0.681 ± 0.039,67.426 ± 4.626
0.669 ± 0.041,66.225 ± 3.877
0.637 ± 0.060,62.920 ± 5.697
0.685 ± 0.049,67.896 ± 4.226
0.695 ± 0.024,68.924 ± 1.558
0.668 ± 0.034,66.023 ± 3.009
0.690 ± 0.036,68.338 ± 4.385
0.683 ± 0.037,67.685 ± 3.662
0.679 ± 0.020,67.128 ± 3.001
0.691 ± 0.018,68.598 ± 2.395
0.685 ± 0.026,68.223 ± 2.489
0.699 ± 0.026,69.078 ± 3.604
0.700 ± 0.022,69.683 ± 2.411
0.693 ± 0.036,68.098 ± 3.629
0.688 ± 0.038,68.242 ± 3.054
0.700 ± 0.028,69.270 ± 2.673
0.695 ± 0.022,69.049 ± 1.888
0.711 ± 0.028,70.423 ± 2.894
0.709 ± 0.026,70.346 ± 2.640
0.708 ± 0.014,70.307 ± 2.078
0.722 ± 0.014,71.364 ± 1.837
0.708 ± 0.021,70.317 ± 1.851
0.699 ± 0.022,69.039 ± 2.470
0.652 ± 0.030,64.361 ± 3.985
0.673 ± 0.020,66.744 ± 2.182
0.680 ± 0.018,68.088 ± 2.555
0.689 ± 0.015,67.963 ± 2.199
0.705 ± 0.010,70.451 ± 1.846
0.704 ± 0.014,69.952 ± 1.871
0.665 ± 0.020,66.090 ± 3.181
0.671 ± 0.022,66.571 ± 2.774
0.675 ± 0.019,66.993 ± 2.554
0.699 ± 0.015,69.414 ± 2.208
0.696 ± 0.014,69.078 ± 2.251
0.700 ± 0.014,69.971 ± 1.846
0.665 ± 0.010,66.158 ± 2.091
0.678 ± 0.012,66.964 ± 2.011
0.675 ± 0.013,66.964 ± 2.086
0.700 ± 0.012,69.837 ± 2.069
0.706 ± 0.015,70.288 ± 2.184
0.700 ± 0.013,69.635 ± 2.318
0.679 ± 0.007,67.128 ± 1.953
0.679 ± 0.014,67.051 ± 1.893
0.679 ± 0.009,67.464 ± 1.896
0.704 ± 0.015,69.520 ± 2.133
0.700 ± 0.011,69.635 ± 2.068
0.693 ± 0.011,68.492 ± 1.660
