0.482 ± 0.016,49.320 ± 2.518
0.534 ± 0.006,55.439 ± 1.839
0.525 ± 0.015,54.057 ± 2.010
0.522 ± 0.018,53.070 ± 2.720
0.532 ± 0.011,54.759 ± 1.205
0.528 ± 0.011,53.509 ± 1.572
0.501 ± 0.013,51.228 ± 2.501
0.440 ± 0.034,43.860 ± 3.270
0.442 ± 0.044,44.079 ± 3.995
0.454 ± 0.035,45.855 ± 4.202
0.426 ± 0.017,42.610 ± 1.795
0.432 ± 0.021,43.311 ± 1.798
0.439 ± 0.019,43.487 ± 1.830
0.485 ± 0.019,49.561 ± 2.732
0.491 ± 0.017,49.868 ± 1.835
0.485 ± 0.019,49.232 ± 1.597
0.454 ± 0.018,45.680 ± 2.416
0.448 ± 0.020,45.197 ± 2.134
0.465 ± 0.017,46.623 ± 1.838
0.525 ± 0.017,54.057 ± 1.633
0.518 ± 0.018,52.763 ± 2.495
0.525 ± 0.016,53.443 ± 2.005
0.493 ± 0.023,50.329 ± 2.292
0.490 ± 0.016,49.649 ± 1.345
0.491 ± 0.017,50.504 ± 1.083
0.563 ± 0.014,57.917 ± 1.903
0.560 ± 0.023,57.346 ± 1.848
0.559 ± 0.013,56.842 ± 1.348
0.547 ± 0.015,56.075 ± 1.984
0.536 ± 0.012,54.759 ± 2.398
0.526 ± 0.018,53.772 ± 1.808
0.467 ± 0.017,46.820 ± 1.974
0.476 ± 0.020,48.553 ± 1.769
0.485 ± 0.022,49.167 ± 2.602
0.444 ± 0.017,44.956 ± 1.425
0.445 ± 0.017,44.803 ± 1.205
0.456 ± 0.018,45.592 ± 1.586
0.512 ± 0.014,52.193 ± 2.619
0.507 ± 0.014,52.259 ± 1.803
0.510 ± 0.016,51.711 ± 1.929
0.467 ± 0.014,46.689 ± 1.920
0.464 ± 0.017,46.711 ± 1.373
0.464 ± 0.016,46.294 ± 1.753
0.574 ± 0.016,58.158 ± 1.709
0.567 ± 0.016,57.500 ± 1.687
0.552 ± 0.013,56.184 ± 1.929
0.513 ± 0.017,52.675 ± 2.515
0.511 ± 0.016,51.974 ± 2.414
0.503 ± 0.014,51.162 ± 2.043
0.598 ± 0.013,60.768 ± 1.353
0.593 ± 0.014,60.395 ± 1.429
0.588 ± 0.014,59.408 ± 1.960
0.571 ± 0.015,58.180 ± 1.520
0.564 ± 0.017,57.083 ± 2.158
0.555 ± 0.017,56.250 ± 1.763
0.471 ± 0.010,46.864 ± 2.266
0.473 ± 0.018,47.368 ± 2.239
0.475 ± 0.023,48.026 ± 2.169
0.447 ± 0.014,44.825 ± 1.793
0.448 ± 0.019,44.561 ± 1.593
0.455 ± 0.013,45.395 ± 1.626
0.513 ± 0.015,52.390 ± 2.211
0.503 ± 0.015,51.711 ± 3.185
0.495 ± 0.008,50.833 ± 2.146
0.460 ± 0.013,46.425 ± 1.887
0.460 ± 0.009,45.789 ± 1.661
0.464 ± 0.010,46.404 ± 1.276
0.566 ± 0.018,57.215 ± 1.686
0.551 ± 0.018,56.469 ± 2.369
0.546 ± 0.014,55.351 ± 0.916
0.512 ± 0.013,51.974 ± 2.736
0.504 ± 0.013,51.404 ± 2.062
0.492 ± 0.013,50.000 ± 2.101
0.580 ± 0.012,59.167 ± 2.019
0.575 ± 0.012,58.618 ± 1.952
0.568 ± 0.014,57.851 ± 1.556
0.567 ± 0.016,57.478 ± 1.810
0.556 ± 0.013,56.425 ± 1.665
0.547 ± 0.011,56.009 ± 1.624
0.467 ± 0.014,47.325 ± 2.370
0.474 ± 0.013,47.018 ± 2.048
0.483 ± 0.012,48.246 ± 2.080
0.445 ± 0.016,44.583 ± 1.624
0.443 ± 0.020,44.430 ± 1.320
0.458 ± 0.024,46.272 ± 1.738
0.515 ± 0.018,52.390 ± 2.229
0.510 ± 0.012,51.952 ± 1.818
0.508 ± 0.019,51.952 ± 2.159
0.465 ± 0.015,46.623 ± 1.925
0.462 ± 0.011,46.711 ± 1.387
0.466 ± 0.017,46.820 ± 1.539
0.569 ± 0.015,57.851 ± 2.208
0.559 ± 0.017,56.908 ± 1.485
0.553 ± 0.013,56.184 ± 1.966
0.510 ± 0.018,51.776 ± 2.647
0.507 ± 0.014,51.513 ± 2.538
0.501 ± 0.013,51.425 ± 1.999
0.594 ± 0.014,60.263 ± 1.707
0.588 ± 0.010,59.846 ± 2.086
0.581 ± 0.013,58.991 ± 2.062
0.567 ± 0.018,58.026 ± 1.585
0.557 ± 0.013,56.798 ± 2.128
0.550 ± 0.017,56.075 ± 1.597
0.463 ± 0.019,46.908 ± 2.407
0.461 ± 0.020,45.789 ± 2.390
0.478 ± 0.022,48.596 ± 1.182
0.439 ± 0.020,43.333 ± 1.763
0.440 ± 0.017,43.750 ± 1.391
0.444 ± 0.019,44.035 ± 1.155
0.504 ± 0.017,51.206 ± 2.480
0.504 ± 0.015,51.842 ± 1.798
0.505 ± 0.018,52.105 ± 2.456
0.458 ± 0.014,46.031 ± 1.804
0.459 ± 0.019,46.096 ± 1.602
0.466 ± 0.020,47.368 ± 1.679
0.552 ± 0.018,56.711 ± 2.686
0.543 ± 0.012,56.140 ± 2.115
0.536 ± 0.018,54.978 ± 1.566
0.515 ± 0.019,52.544 ± 2.313
0.505 ± 0.015,51.294 ± 2.564
0.492 ± 0.015,50.702 ± 2.105
0.583 ± 0.008,60.570 ± 1.493
0.580 ± 0.016,59.276 ± 1.264
0.577 ± 0.011,59.211 ± 1.316
0.560 ± 0.012,56.798 ± 1.664
0.557 ± 0.015,57.061 ± 1.512
0.547 ± 0.017,55.789 ± 1.833
0.456 ± 0.014,45.965 ± 1.960
0.457 ± 0.021,45.614 ± 2.516
0.464 ± 0.017,47.303 ± 2.283
0.438 ± 0.022,43.421 ± 1.461
0.436 ± 0.016,43.180 ± 1.328
0.442 ± 0.016,43.882 ± 1.865
0.488 ± 0.013,49.649 ± 2.580
0.488 ± 0.019,49.846 ± 2.682
0.483 ± 0.013,49.978 ± 1.950
0.453 ± 0.011,45.482 ± 2.558
0.456 ± 0.020,45.724 ± 1.817
0.461 ± 0.017,46.272 ± 1.792
0.538 ± 0.020,55.110 ± 1.782
0.538 ± 0.014,55.329 ± 1.387
0.526 ± 0.012,54.254 ± 2.060
0.501 ± 0.021,50.702 ± 2.791
0.491 ± 0.018,49.890 ± 1.511
0.484 ± 0.015,49.518 ± 2.376
0.569 ± 0.014,58.882 ± 1.495
0.565 ± 0.008,58.158 ± 1.397
0.552 ± 0.012,56.645 ± 1.088
0.555 ± 0.013,56.425 ± 1.391
0.545 ± 0.018,55.592 ± 2.215
0.533 ± 0.019,54.386 ± 2.184
0.463 ± 0.016,46.557 ± 2.290
0.458 ± 0.016,45.724 ± 2.379
0.472 ± 0.017,47.566 ± 2.761
0.435 ± 0.019,43.268 ± 1.653
0.440 ± 0.016,43.904 ± 1.698
0.444 ± 0.017,44.232 ± 1.588
0.502 ± 0.021,51.140 ± 2.806
0.497 ± 0.015,50.855 ± 1.343
0.489 ± 0.015,50.439 ± 2.802
0.453 ± 0.010,45.417 ± 1.898
0.459 ± 0.014,45.789 ± 1.961
0.459 ± 0.020,46.425 ± 1.110
0.551 ± 0.022,56.206 ± 1.667
0.548 ± 0.017,56.820 ± 2.455
0.535 ± 0.014,54.211 ± 2.420
0.510 ± 0.015,51.711 ± 2.162
0.503 ± 0.015,51.623 ± 2.771
0.492 ± 0.013,50.658 ± 1.738
0.578 ± 0.011,59.715 ± 0.996
0.574 ± 0.011,58.509 ± 1.865
0.569 ± 0.012,58.421 ± 1.415
0.564 ± 0.011,57.456 ± 1.548
0.550 ± 0.015,56.009 ± 2.055
0.540 ± 0.015,55.461 ± 1.965
0.464 ± 0.033,46.732 ± 2.863
0.456 ± 0.037,45.351 ± 3.397
0.468 ± 0.025,47.456 ± 2.836
0.431 ± 0.019,43.004 ± 1.443
0.434 ± 0.019,43.202 ± 1.455
0.440 ± 0.015,43.947 ± 2.015
0.491 ± 0.018,49.803 ± 1.642
0.494 ± 0.020,50.351 ± 1.435
0.497 ± 0.018,50.088 ± 1.102
0.459 ± 0.021,46.338 ± 2.117
0.463 ± 0.020,46.140 ± 2.239
0.467 ± 0.022,46.820 ± 2.180
0.532 ± 0.015,54.934 ± 1.504
0.523 ± 0.021,53.816 ± 1.494
0.531 ± 0.014,53.531 ± 1.133
0.497 ± 0.010,51.140 ± 1.534
0.492 ± 0.016,50.044 ± 1.437
0.491 ± 0.016,50.482 ± 1.635
0.568 ± 0.014,58.553 ± 1.471
0.557 ± 0.011,57.325 ± 1.356
0.556 ± 0.017,56.996 ± 1.691
0.549 ± 0.017,56.579 ± 1.743
0.542 ± 0.012,55.175 ± 1.419
0.533 ± 0.020,54.737 ± 1.642
0.431 ± 0.029,43.158 ± 3.203
0.445 ± 0.037,44.627 ± 3.320
0.436 ± 0.026,43.925 ± 2.512
0.426 ± 0.023,42.456 ± 1.612
0.430 ± 0.016,42.632 ± 1.401
0.435 ± 0.018,43.399 ± 1.833
0.481 ± 0.016,49.364 ± 1.292
0.484 ± 0.013,49.364 ± 2.127
0.487 ± 0.023,49.101 ± 2.724
0.446 ± 0.025,44.189 ± 2.522
0.450 ± 0.016,45.197 ± 2.703
0.457 ± 0.020,45.877 ± 2.529
0.504 ± 0.012,51.820 ± 2.269
0.502 ± 0.018,52.237 ± 2.500
0.504 ± 0.017,50.855 ± 1.900
0.484 ± 0.021,49.518 ± 2.009
0.481 ± 0.014,48.640 ± 1.376
0.478 ± 0.020,48.904 ± 1.554
0.536 ± 0.014,55.022 ± 1.619
0.531 ± 0.014,54.211 ± 1.550
0.523 ± 0.008,53.487 ± 2.150
0.534 ± 0.014,54.890 ± 1.732
0.522 ± 0.016,53.662 ± 2.135
0.512 ± 0.012,51.908 ± 1.858
0.453 ± 0.033,45.132 ± 2.378
0.449 ± 0.040,45.241 ± 4.309
0.458 ± 0.031,46.513 ± 4.674
0.431 ± 0.021,43.004 ± 1.890
0.436 ± 0.020,43.180 ± 1.657
0.435 ± 0.017,43.333 ± 1.738
0.482 ± 0.019,48.947 ± 2.325
0.490 ± 0.023,49.956 ± 1.929
0.489 ± 0.022,48.947 ± 1.315
0.454 ± 0.019,45.724 ± 1.859
0.450 ± 0.016,45.307 ± 1.788
0.463 ± 0.020,46.316 ± 1.926
