0.858 ± 0.006,86.056 ± 1.332
0.860 ± 0.007,86.237 ± 1.323
0.860 ± 0.008,86.559 ± 1.434
0.827 ± 0.011,82.012 ± 2.217
0.836 ± 0.012,83.038 ± 1.597
0.840 ± 0.010,84.245 ± 1.184
0.788 ± 0.034,78.833 ± 3.839
0.805 ± 0.023,80.020 ± 3.588
0.823 ± 0.024,82.213 ± 1.851
0.850 ± 0.009,84.829 ± 0.855
0.852 ± 0.011,84.789 ± 0.811
0.852 ± 0.012,85.131 ± 0.937
0.832 ± 0.011,82.897 ± 1.736
0.831 ± 0.012,82.736 ± 1.797
0.839 ± 0.015,84.044 ± 1.257
0.855 ± 0.008,84.950 ± 0.824
0.856 ± 0.008,85.010 ± 0.826
0.858 ± 0.008,85.050 ± 0.961
0.845 ± 0.009,84.447 ± 0.863
0.847 ± 0.008,84.527 ± 1.078
0.850 ± 0.009,84.889 ± 1.129
0.856 ± 0.008,85.030 ± 0.770
0.857 ± 0.009,85.372 ± 0.774
0.858 ± 0.009,85.392 ± 0.896
0.853 ± 0.007,84.708 ± 1.030
0.853 ± 0.007,84.668 ± 0.921
0.853 ± 0.008,84.789 ± 0.831
0.832 ± 0.010,82.777 ± 1.918
0.833 ± 0.012,83.038 ± 1.635
0.835 ± 0.016,82.616 ± 1.996
0.773 ± 0.034,77.485 ± 4.355
0.781 ± 0.037,77.726 ± 4.161
0.799 ± 0.027,79.276 ± 2.585
0.852 ± 0.012,85.091 ± 0.827
0.853 ± 0.009,84.849 ± 0.969
0.855 ± 0.010,85.030 ± 0.770
0.821 ± 0.009,81.710 ± 2.045
0.820 ± 0.009,82.153 ± 1.733
0.825 ± 0.008,82.334 ± 1.863
0.851 ± 0.010,84.668 ± 0.838
0.851 ± 0.012,84.990 ± 1.062
0.855 ± 0.008,85.272 ± 0.804
0.844 ± 0.010,84.869 ± 0.843
0.845 ± 0.010,84.648 ± 0.918
0.848 ± 0.009,84.748 ± 0.934
0.847 ± 0.010,84.044 ± 1.350
0.848 ± 0.011,84.487 ± 1.024
0.851 ± 0.007,85.070 ± 0.843
0.848 ± 0.008,84.628 ± 0.919
0.848 ± 0.009,84.809 ± 0.966
0.850 ± 0.008,84.809 ± 0.816
0.817 ± 0.021,81.348 ± 2.296
0.827 ± 0.013,82.213 ± 1.866
