0.740 ± 0.010,74.978 ± 1.306
0.724 ± 0.010,73.531 ± 1.127
0.759 ± 0.013,76.930 ± 0.570
0.752 ± 0.015,76.140 ± 0.975
0.742 ± 0.007,74.759 ± 1.141
0.742 ± 0.020,75.921 ± 1.966
0.729 ± 0.031,74.759 ± 2.556
0.715 ± 0.022,72.961 ± 1.822
0.760 ± 0.014,77.917 ± 0.925
0.753 ± 0.021,77.237 ± 1.617
0.742 ± 0.021,75.789 ± 2.067
0.750 ± 0.019,76.162 ± 1.323
0.743 ± 0.018,75.811 ± 1.806
0.733 ± 0.016,74.189 ± 1.497
0.754 ± 0.017,77.434 ± 0.933
0.751 ± 0.023,76.776 ± 1.642
0.740 ± 0.022,75.592 ± 1.719
0.773 ± 0.015,78.728 ± 0.986
0.770 ± 0.013,78.311 ± 0.750
0.767 ± 0.010,77.982 ± 1.429
0.763 ± 0.016,78.333 ± 0.914
0.759 ± 0.017,77.500 ± 1.075
0.752 ± 0.018,76.425 ± 0.862
0.779 ± 0.014,79.474 ± 1.291
0.782 ± 0.015,79.496 ± 1.391
0.776 ± 0.011,79.320 ± 1.327
0.779 ± 0.014,78.904 ± 0.975
0.776 ± 0.015,78.925 ± 1.112
0.773 ± 0.011,78.860 ± 1.261
0.751 ± 0.030,77.566 ± 2.863
0.761 ± 0.019,78.004 ± 0.904
0.755 ± 0.018,76.842 ± 1.218
0.761 ± 0.015,78.224 ± 0.883
0.759 ± 0.016,78.114 ± 1.130
0.757 ± 0.015,77.346 ± 1.323
0.754 ± 0.017,77.039 ± 1.909
0.744 ± 0.022,75.899 ± 2.334
0.731 ± 0.029,75.132 ± 2.478
0.762 ± 0.015,78.202 ± 0.729
0.761 ± 0.016,78.158 ± 1.034
0.750 ± 0.021,77.039 ± 1.768
0.762 ± 0.015,78.136 ± 1.225
0.760 ± 0.017,77.675 ± 1.232
0.755 ± 0.017,76.513 ± 1.124
0.760 ± 0.016,78.092 ± 0.787
0.760 ± 0.017,78.026 ± 0.765
0.757 ± 0.016,77.127 ± 1.394
0.761 ± 0.016,77.675 ± 0.892
0.758 ± 0.013,77.105 ± 1.066
0.758 ± 0.015,76.974 ± 1.024
0.766 ± 0.017,78.026 ± 1.004
0.764 ± 0.015,77.982 ± 1.202
0.760 ± 0.014,77.390 ± 1.203
0.746 ± 0.021,76.294 ± 1.875
0.734 ± 0.024,74.627 ± 1.784
0.716 ± 0.027,72.982 ± 2.689
0.755 ± 0.017,77.325 ± 1.294
0.751 ± 0.021,77.127 ± 1.690
0.742 ± 0.018,76.096 ± 1.969
0.747 ± 0.019,76.140 ± 1.337
0.742 ± 0.016,75.263 ± 1.837
0.727 ± 0.015,73.662 ± 2.006
0.756 ± 0.017,77.566 ± 1.241
0.751 ± 0.025,76.557 ± 1.913
0.735 ± 0.031,75.219 ± 1.765
0.773 ± 0.013,78.399 ± 1.170
0.769 ± 0.011,78.048 ± 1.191
0.761 ± 0.010,77.127 ± 1.092
0.762 ± 0.018,77.851 ± 0.888
0.758 ± 0.018,77.566 ± 1.135
0.750 ± 0.016,76.557 ± 1.137
0.777 ± 0.014,79.101 ± 0.951
0.777 ± 0.014,79.035 ± 1.071
0.773 ± 0.012,78.662 ± 1.217
0.775 ± 0.014,78.882 ± 0.961
0.772 ± 0.015,78.794 ± 1.309
0.771 ± 0.013,78.618 ± 1.226
0.712 ± 0.025,72.544 ± 1.789
0.691 ± 0.025,70.088 ± 3.018
0.673 ± 0.022,68.158 ± 1.379
0.747 ± 0.027,75.768 ± 2.044
0.745 ± 0.021,75.965 ± 1.245
0.720 ± 0.022,72.741 ± 1.795
0.737 ± 0.012,74.430 ± 0.977
0.730 ± 0.008,73.772 ± 1.716
0.717 ± 0.014,72.522 ± 2.094
0.751 ± 0.018,76.667 ± 1.429
0.734 ± 0.028,75.439 ± 1.988
0.718 ± 0.022,72.588 ± 2.027
0.767 ± 0.014,77.675 ± 0.935
0.763 ± 0.014,77.018 ± 0.955
0.751 ± 0.015,76.404 ± 0.967
0.755 ± 0.019,76.886 ± 1.115
0.748 ± 0.020,76.338 ± 1.195
0.741 ± 0.011,75.263 ± 1.400
0.776 ± 0.014,78.596 ± 1.342
0.773 ± 0.013,78.421 ± 1.106
0.766 ± 0.010,77.851 ± 0.936
0.773 ± 0.013,78.596 ± 0.845
0.772 ± 0.014,78.004 ± 0.904
0.768 ± 0.013,77.851 ± 0.797
0.676 ± 0.033,68.311 ± 3.506
0.670 ± 0.033,66.996 ± 3.100
0.661 ± 0.019,66.667 ± 2.689
0.729 ± 0.053,74.868 ± 4.421
0.731 ± 0.042,74.342 ± 3.645
0.693 ± 0.041,69.868 ± 4.007
0.720 ± 0.015,73.246 ± 1.795
0.716 ± 0.011,72.719 ± 1.685
0.703 ± 0.016,71.053 ± 1.656
