0.726 ± 0.014,72.133 ± 2.165
0.660 ± 0.029,65.168 ± 3.788
0.660 ± 0.033,65.197 ± 3.817
0.648 ± 0.034,64.400 ± 4.546
0.639 ± 0.047,63.698 ± 4.360
0.697 ± 0.062,69.558 ± 5.300
0.675 ± 0.072,66.868 ± 6.598
0.711 ± 0.026,70.048 ± 3.097
0.706 ± 0.034,69.894 ± 2.958
0.706 ± 0.032,70.134 ± 2.999
0.672 ± 0.029,66.888 ± 3.748
0.666 ± 0.016,65.860 ± 1.982
0.670 ± 0.034,66.330 ± 4.188
0.731 ± 0.008,72.930 ± 2.185
0.733 ± 0.010,72.891 ± 2.220
0.721 ± 0.018,71.700 ± 2.648
0.717 ± 0.026,71.009 ± 2.482
0.716 ± 0.023,71.191 ± 2.429
0.712 ± 0.021,70.173 ± 2.509
0.643 ± 0.056,63.766 ± 4.828
0.608 ± 0.022,60.471 ± 3.051
0.627 ± 0.044,61.931 ± 4.138
0.676 ± 0.062,67.080 ± 5.447
0.667 ± 0.022,66.071 ± 3.022
0.627 ± 0.045,62.440 ± 4.700
0.666 ± 0.018,65.937 ± 2.166
0.667 ± 0.017,65.917 ± 2.399
0.656 ± 0.015,64.938 ± 2.187
0.645 ± 0.038,63.958 ± 3.074
0.654 ± 0.030,64.275 ± 3.066
0.631 ± 0.036,62.171 ± 3.285
0.703 ± 0.014,69.587 ± 1.823
0.704 ± 0.016,69.404 ± 1.739
0.696 ± 0.018,68.934 ± 1.952
0.684 ± 0.015,67.176 ± 2.123
0.680 ± 0.025,66.753 ± 2.370
0.671 ± 0.020,66.158 ± 1.923
0.729 ± 0.011,71.921 ± 1.395
0.725 ± 0.016,71.710 ± 1.733
0.723 ± 0.009,71.575 ± 1.871
0.717 ± 0.017,70.692 ± 1.832
0.715 ± 0.021,70.596 ± 1.754
0.709 ± 0.014,70.221 ± 1.988
0.592 ± 0.015,58.866 ± 2.027
0.614 ± 0.026,61.114 ± 2.212
0.620 ± 0.026,61.787 ± 3.256
0.670 ± 0.014,66.503 ± 2.097
0.673 ± 0.019,67.195 ± 2.264
0.657 ± 0.015,65.197 ± 1.699
0.661 ± 0.017,65.187 ± 2.108
0.658 ± 0.010,65.091 ± 1.927
0.651 ± 0.012,64.400 ± 2.163
0.646 ± 0.028,64.688 ± 2.832
0.655 ± 0.021,65.331 ± 2.731
0.657 ± 0.018,65.696 ± 2.757
0.699 ± 0.013,69.116 ± 1.783
0.693 ± 0.011,68.684 ± 1.516
0.687 ± 0.011,68.540 ± 1.629
0.690 ± 0.013,68.069 ± 1.806
0.687 ± 0.013,68.012 ± 2.039
0.684 ± 0.011,67.983 ± 2.255
0.721 ± 0.012,71.643 ± 1.724
0.717 ± 0.012,71.306 ± 1.963
0.713 ± 0.010,70.797 ± 1.950
0.721 ± 0.010,71.556 ± 1.453
0.720 ± 0.007,71.537 ± 1.667
0.715 ± 0.013,70.932 ± 1.883
0.610 ± 0.091,60.778 ± 8.432
0.636 ± 0.104,63.401 ± 8.950
0.704 ± 0.006,70.096 ± 1.892
0.588 ± 0.120,58.444 ± 11.955
0.629 ± 0.123,62.891 ± 10.980
0.721 ± 0.009,71.393 ± 2.057
0.633 ± 0.033,62.920 ± 3.711
0.648 ± 0.048,64.890 ± 5.172
0.674 ± 0.049,67.262 ± 4.070
0.629 ± 0.068,63.064 ± 6.859
0.629 ± 0.064,62.622 ± 5.718
0.660 ± 0.080,65.764 ± 7.323
0.690 ± 0.030,68.127 ± 3.543
0.698 ± 0.029,69.712 ± 2.905
0.695 ± 0.026,69.260 ± 2.605
0.660 ± 0.029,65.322 ± 3.233
0.673 ± 0.038,67.157 ± 4.272
0.667 ± 0.031,66.033 ± 3.399
0.717 ± 0.012,71.451 ± 1.828
0.716 ± 0.008,71.037 ± 2.247
0.708 ± 0.009,70.624 ± 2.309
0.711 ± 0.026,70.442 ± 2.928
0.707 ± 0.031,69.894 ± 2.988
0.715 ± 0.024,71.134 ± 2.412
0.574 ± 0.022,57.320 ± 2.135
0.580 ± 0.038,58.271 ± 3.702
0.605 ± 0.035,60.134 ± 3.522
0.597 ± 0.089,59.817 ± 6.908
0.653 ± 0.028,65.139 ± 3.213
0.626 ± 0.027,62.661 ± 1.913
0.646 ± 0.014,64.035 ± 2.452
0.648 ± 0.013,64.246 ± 2.344
0.639 ± 0.017,63.833 ± 2.640
0.632 ± 0.038,63.093 ± 1.968
0.637 ± 0.031,62.843 ± 3.106
0.633 ± 0.022,62.978 ± 2.525
0.687 ± 0.016,68.021 ± 2.060
0.685 ± 0.011,67.810 ± 1.898
0.684 ± 0.016,67.570 ± 1.825
0.675 ± 0.015,67.262 ± 1.610
0.677 ± 0.017,66.945 ± 2.145
0.665 ± 0.022,66.129 ± 2.567
0.712 ± 0.013,70.663 ± 1.688
0.709 ± 0.016,70.163 ± 2.254
0.704 ± 0.011,69.914 ± 1.415
0.706 ± 0.013,69.837 ± 1.482
0.705 ± 0.015,69.616 ± 2.041
0.700 ± 0.014,69.337 ± 1.725
0.501 ± 0.053,50.509 ± 5.317
0.575 ± 0.034,57.224 ± 3.593
0.603 ± 0.018,60.240 ± 2.571
0.640 ± 0.022,63.564 ± 2.202
0.649 ± 0.017,64.553 ± 2.505
0.651 ± 0.020,64.861 ± 1.986
0.519 ± 0.016,52.594 ± 2.117
0.558 ± 0.027,55.687 ± 2.795
0.599 ± 0.018,59.577 ± 2.664
0.614 ± 0.035,61.268 ± 3.535
0.634 ± 0.022,63.622 ± 2.719
0.638 ± 0.020,63.525 ± 2.928
0.580 ± 0.023,58.665 ± 2.901
0.581 ± 0.023,58.127 ± 2.407
0.589 ± 0.020,58.905 ± 3.168
0.635 ± 0.021,63.727 ± 2.353
0.632 ± 0.027,62.891 ± 2.973
0.636 ± 0.024,63.362 ± 2.841
0.642 ± 0.015,63.785 ± 2.151
0.630 ± 0.016,63.026 ± 2.230
0.617 ± 0.021,61.873 ± 2.107
0.685 ± 0.010,67.522 ± 1.864
0.683 ± 0.010,67.762 ± 2.271
0.679 ± 0.015,67.214 ± 1.886
0.444 ± 0.063,44.717 ± 6.222
0.514 ± 0.121,51.652 ± 11.721
0.571 ± 0.130,56.849 ± 12.811
0.524 ± 0.133,52.911 ± 12.507
0.593 ± 0.129,59.347 ± 12.150
0.687 ± 0.014,68.050 ± 2.450
0.489 ± 0.051,49.049 ± 5.559
0.592 ± 0.062,59.280 ± 5.098
0.650 ± 0.019,64.899 ± 2.587
0.616 ± 0.087,61.556 ± 8.343
0.671 ± 0.071,66.772 ± 6.293
0.692 ± 0.014,68.857 ± 1.684
0.556 ± 0.040,55.735 ± 3.728
0.632 ± 0.024,62.757 ± 1.818
0.651 ± 0.015,65.101 ± 2.249
0.677 ± 0.046,67.329 ± 5.537
0.699 ± 0.011,69.577 ± 2.178
0.697 ± 0.011,69.203 ± 2.176
0.631 ± 0.023,62.911 ± 2.329
0.654 ± 0.016,65.187 ± 2.083
0.660 ± 0.014,65.754 ± 2.397
0.687 ± 0.025,68.338 ± 3.642
0.702 ± 0.012,69.827 ± 2.068
0.697 ± 0.010,69.232 ± 2.413
0.516 ± 0.070,52.008 ± 6.723
0.558 ± 0.054,55.552 ± 4.715
0.611 ± 0.026,61.575 ± 3.360
0.530 ± 0.098,53.689 ± 9.388
0.622 ± 0.039,62.286 ± 3.809
0.647 ± 0.033,64.505 ± 3.728
0.534 ± 0.032,53.929 ± 3.467
0.549 ± 0.042,55.648 ± 3.233
0.606 ± 0.021,60.403 ± 3.310
0.593 ± 0.046,59.385 ± 4.228
0.629 ± 0.028,62.565 ± 3.289
0.640 ± 0.032,64.102 ± 2.945
0.572 ± 0.018,56.801 ± 2.584
0.572 ± 0.017,57.349 ± 2.587
0.598 ± 0.023,59.702 ± 2.795
0.628 ± 0.028,62.469 ± 2.894
0.623 ± 0.036,62.344 ± 3.990
0.636 ± 0.022,63.180 ± 3.064
0.632 ± 0.017,62.795 ± 1.838
0.614 ± 0.028,61.172 ± 2.796
0.613 ± 0.020,61.633 ± 2.535
0.679 ± 0.010,67.502 ± 1.543
0.679 ± 0.014,67.157 ± 2.508
0.671 ± 0.016,66.734 ± 1.578
0.619 ± 0.026,61.489 ± 3.088
0.632 ± 0.029,62.430 ± 3.349
0.655 ± 0.021,64.745 ± 3.003
0.680 ± 0.041,67.426 ± 5.388
0.678 ± 0.015,67.185 ± 1.917
0.656 ± 0.013,65.159 ± 2.149
0.674 ± 0.016,66.369 ± 1.911
0.672 ± 0.014,66.273 ± 1.682
0.663 ± 0.018,65.418 ± 2.684
0.654 ± 0.031,64.774 ± 3.473
0.650 ± 0.020,64.217 ± 2.151
0.665 ± 0.023,65.889 ± 2.251
0.712 ± 0.013,70.471 ± 1.742
0.709 ± 0.013,69.846 ± 2.171
0.702 ± 0.016,69.404 ± 2.009
0.690 ± 0.016,68.213 ± 2.072
0.691 ± 0.016,68.329 ± 2.151
0.685 ± 0.022,67.416 ± 2.044
0.733 ± 0.010,73.064 ± 1.660
0.731 ± 0.012,72.843 ± 1.865
0.731 ± 0.009,72.613 ± 1.745
0.723 ± 0.010,71.585 ± 1.678
0.722 ± 0.011,71.345 ± 1.742
0.717 ± 0.013,71.201 ± 1.883
0.599 ± 0.049,59.693 ± 5.358
0.672 ± 0.074,66.388 ± 8.326
0.641 ± 0.094,63.996 ± 9.261
0.628 ± 0.105,62.949 ± 9.986
0.669 ± 0.106,66.263 ± 9.662
0.701 ± 0.081,69.808 ± 7.094
0.658 ± 0.030,65.216 ± 3.937
0.655 ± 0.033,64.755 ± 3.728
0.678 ± 0.048,66.792 ± 5.311
0.645 ± 0.060,64.486 ± 5.053
0.681 ± 0.072,67.771 ± 6.013
0.674 ± 0.074,66.695 ± 6.739
0.709 ± 0.029,70.106 ± 3.532
0.692 ± 0.037,68.790 ± 3.643
0.692 ± 0.039,68.588 ± 3.185
0.660 ± 0.022,65.524 ± 2.686
0.667 ± 0.029,66.282 ± 3.229
0.680 ± 0.041,67.224 ± 3.396
0.733 ± 0.010,72.901 ± 1.964
0.732 ± 0.010,72.853 ± 2.076
0.718 ± 0.016,71.297 ± 2.640
0.718 ± 0.022,71.278 ± 2.197
0.717 ± 0.027,71.374 ± 2.295
0.720 ± 0.022,70.961 ± 2.616
0.622 ± 0.059,61.671 ± 5.766
0.614 ± 0.025,60.855 ± 1.808
0.614 ± 0.037,60.653 ± 3.033
0.655 ± 0.077,65.283 ± 6.448
0.657 ± 0.058,65.360 ± 4.710
0.648 ± 0.027,64.294 ± 2.739
0.665 ± 0.015,65.696 ± 1.681
0.662 ± 0.016,65.283 ± 2.494
0.654 ± 0.022,64.486 ± 2.096
0.639 ± 0.041,63.660 ± 4.366
0.649 ± 0.044,64.524 ± 4.141
0.617 ± 0.025,61.143 ± 2.134
0.702 ± 0.015,69.193 ± 1.467
0.703 ± 0.013,69.174 ± 2.054
0.697 ± 0.016,68.790 ± 1.671
0.682 ± 0.017,66.936 ± 2.213
0.673 ± 0.020,66.407 ± 2.159
0.674 ± 0.022,66.196 ± 2.207
0.726 ± 0.015,71.940 ± 1.745
0.723 ± 0.015,71.873 ± 2.003
0.720 ± 0.012,71.268 ± 1.907
0.717 ± 0.016,70.701 ± 1.757
0.714 ± 0.012,70.413 ± 1.847
0.709 ± 0.016,70.192 ± 2.167
0.598 ± 0.034,59.558 ± 2.668
0.597 ± 0.030,59.568 ± 3.135
0.617 ± 0.028,61.326 ± 3.410
0.660 ± 0.051,66.138 ± 4.165
0.672 ± 0.025,66.811 ± 2.417
0.665 ± 0.016,66.282 ± 1.930
0.652 ± 0.015,64.515 ± 2.058
