0.682 ± 0.023,67.701 ± 2.408
0.685 ± 0.024,68.746 ± 1.823
0.698 ± 0.022,68.625 ± 2.415
0.662 ± 0.032,65.885 ± 2.846
0.670 ± 0.019,67.056 ± 2.656
0.676 ± 0.019,67.656 ± 2.366
0.667 ± 0.025,67.204 ± 3.448
0.669 ± 0.028,67.423 ± 2.848
0.673 ± 0.026,67.645 ± 2.624
0.694 ± 0.015,69.271 ± 2.769
0.696 ± 0.015,69.580 ± 2.747
0.697 ± 0.014,69.925 ± 2.606
0.612 ± 0.011,60.889 ± 3.418
0.618 ± 0.026,61.644 ± 2.386
0.626 ± 0.028,62.695 ± 3.255
0.643 ± 0.019,64.261 ± 3.896
0.634 ± 0.021,63.568 ± 2.708
0.636 ± 0.032,63.566 ± 3.010
0.633 ± 0.020,63.429 ± 2.876
0.634 ± 0.021,63.864 ± 2.429
0.643 ± 0.025,64.574 ± 3.104
0.589 ± 0.023,58.541 ± 4.548
0.590 ± 0.016,58.148 ± 2.353
0.591 ± 0.021,58.245 ± 2.228
0.667 ± 0.014,66.337 ± 2.606
0.666 ± 0.016,66.747 ± 2.663
0.667 ± 0.016,67.015 ± 2.167
0.619 ± 0.017,61.080 ± 3.073
0.618 ± 0.019,61.355 ± 3.137
0.621 ± 0.020,62.161 ± 2.694
0.694 ± 0.019,69.885 ± 2.223
0.695 ± 0.015,70.260 ± 2.448
0.696 ± 0.017,69.651 ± 2.305
0.694 ± 0.017,69.308 ± 2.519
0.694 ± 0.013,69.473 ± 2.553
0.695 ± 0.016,69.795 ± 2.436
0.691 ± 0.017,69.438 ± 2.294
0.693 ± 0.022,69.582 ± 2.178
0.692 ± 0.019,69.565 ± 2.202
0.692 ± 0.017,69.177 ± 2.245
0.688 ± 0.018,69.559 ± 2.411
0.690 ± 0.016,69.524 ± 2.473
0.639 ± 0.041,64.389 ± 3.947
0.633 ± 0.032,64.068 ± 3.858
0.645 ± 0.045,64.801 ± 4.664
0.667 ± 0.040,67.054 ± 5.098
0.691 ± 0.019,69.381 ± 2.307
0.688 ± 0.019,69.248 ± 2.290
0.657 ± 0.020,65.902 ± 2.702
0.658 ± 0.019,66.125 ± 2.597
0.661 ± 0.024,66.594 ± 2.391
0.613 ± 0.024,61.187 ± 2.812
0.610 ± 0.024,60.565 ± 2.291
0.618 ± 0.020,61.176 ± 2.460
0.672 ± 0.022,67.139 ± 3.278
0.656 ± 0.055,65.651 ± 4.191
0.651 ± 0.051,65.168 ± 4.159
0.691 ± 0.014,69.031 ± 2.617
0.692 ± 0.017,69.460 ± 2.148
0.693 ± 0.023,69.400 ± 2.044
0.616 ± 0.059,61.670 ± 5.485
0.607 ± 0.041,60.932 ± 5.616
0.612 ± 0.045,60.726 ± 3.197
0.663 ± 0.015,66.395 ± 2.903
0.640 ± 0.039,63.718 ± 3.106
0.625 ± 0.030,62.815 ± 2.957
0.629 ± 0.029,62.873 ± 2.194
0.627 ± 0.019,62.549 ± 2.561
0.635 ± 0.030,63.772 ± 2.845
0.634 ± 0.052,63.371 ± 7.572
0.606 ± 0.051,60.184 ± 5.599
0.581 ± 0.023,57.464 ± 2.513
0.658 ± 0.015,66.086 ± 3.038
0.658 ± 0.020,65.949 ± 2.609
0.660 ± 0.019,65.951 ± 2.390
0.616 ± 0.018,61.329 ± 2.557
0.614 ± 0.019,61.346 ± 2.230
0.617 ± 0.021,61.284 ± 2.657
0.693 ± 0.020,69.316 ± 2.300
0.695 ± 0.022,69.348 ± 2.931
0.696 ± 0.024,70.556 ± 2.721
0.700 ± 0.015,70.356 ± 2.271
0.703 ± 0.018,70.447 ± 2.185
0.705 ± 0.016,70.856 ± 2.463
0.674 ± 0.023,67.017 ± 1.994
0.670 ± 0.016,67.094 ± 2.167
0.669 ± 0.027,67.015 ± 2.875
0.677 ± 0.024,67.549 ± 2.671
0.669 ± 0.026,66.779 ± 2.970
0.661 ± 0.031,65.921 ± 3.209
0.634 ± 0.023,63.617 ± 2.767
0.644 ± 0.018,64.087 ± 3.185
0.655 ± 0.017,65.503 ± 1.595
0.635 ± 0.039,63.403 ± 5.084
0.637 ± 0.023,63.454 ± 3.049
0.625 ± 0.022,62.206 ± 3.197
0.663 ± 0.017,66.560 ± 2.673
0.666 ± 0.013,66.815 ± 2.564
0.663 ± 0.014,67.266 ± 2.744
0.621 ± 0.017,62.172 ± 2.611
0.621 ± 0.015,61.717 ± 3.055
0.620 ± 0.018,61.861 ± 2.097
0.703 ± 0.016,70.584 ± 2.057
0.705 ± 0.015,70.867 ± 2.123
0.711 ± 0.018,71.229 ± 2.225
0.699 ± 0.016,70.511 ± 2.433
0.703 ± 0.015,70.526 ± 2.437
0.705 ± 0.016,70.923 ± 2.259
0.700 ± 0.019,70.204 ± 2.075
0.704 ± 0.018,70.000 ± 2.219
0.705 ± 0.019,70.354 ± 2.089
0.699 ± 0.017,69.734 ± 1.957
0.697 ± 0.017,69.895 ± 2.082
0.700 ± 0.018,69.951 ± 1.938
0.700 ± 0.015,70.112 ± 2.000
0.696 ± 0.021,69.694 ± 1.527
0.701 ± 0.015,70.307 ± 2.252
0.695 ± 0.017,69.887 ± 2.092
0.698 ± 0.015,69.818 ± 1.841
0.697 ± 0.019,69.812 ± 1.941
0.661 ± 0.017,66.414 ± 2.315
0.661 ± 0.015,66.714 ± 2.562
0.670 ± 0.027,67.034 ± 2.156
0.617 ± 0.019,61.350 ± 2.683
0.615 ± 0.025,61.039 ± 3.173
0.632 ± 0.040,63.128 ± 3.680
0.694 ± 0.017,69.316 ± 2.395
0.693 ± 0.020,69.402 ± 2.210
0.689 ± 0.030,69.301 ± 2.473
0.697 ± 0.015,70.436 ± 2.446
0.701 ± 0.018,70.215 ± 2.218
0.703 ± 0.016,70.682 ± 2.197
0.681 ± 0.015,68.336 ± 1.828
0.680 ± 0.020,67.901 ± 2.086
0.673 ± 0.026,67.667 ± 1.891
0.684 ± 0.023,68.394 ± 2.234
0.682 ± 0.022,67.742 ± 3.031
0.669 ± 0.030,66.794 ± 3.586
0.628 ± 0.014,62.614 ± 2.800
0.635 ± 0.027,63.261 ± 2.707
0.651 ± 0.018,65.097 ± 2.739
0.664 ± 0.038,66.311 ± 5.072
0.655 ± 0.023,64.849 ± 4.621
0.641 ± 0.015,63.787 ± 2.707
0.661 ± 0.012,66.438 ± 2.596
0.662 ± 0.009,66.575 ± 2.483
0.663 ± 0.011,66.395 ± 2.999
0.615 ± 0.018,61.672 ± 2.564
0.614 ± 0.016,61.003 ± 3.389
0.613 ± 0.018,61.417 ± 2.717
0.708 ± 0.014,70.970 ± 2.147
0.715 ± 0.015,70.972 ± 2.024
0.715 ± 0.016,71.397 ± 2.066
0.700 ± 0.013,70.496 ± 2.047
0.705 ± 0.014,70.661 ± 2.601
0.708 ± 0.014,70.897 ± 2.211
0.702 ± 0.017,70.163 ± 2.183
0.711 ± 0.016,70.830 ± 2.217
0.715 ± 0.012,71.444 ± 2.436
0.700 ± 0.017,70.434 ± 2.268
0.705 ± 0.013,70.582 ± 2.138
0.706 ± 0.018,70.792 ± 2.086
0.688 ± 0.018,68.872 ± 2.542
0.695 ± 0.020,69.563 ± 1.645
0.706 ± 0.020,70.255 ± 2.742
0.685 ± 0.022,68.254 ± 2.696
0.688 ± 0.017,68.366 ± 2.236
0.681 ± 0.023,68.188 ± 2.406
0.674 ± 0.024,66.611 ± 2.028
0.684 ± 0.024,67.913 ± 2.474
0.691 ± 0.023,68.381 ± 1.891
0.652 ± 0.025,65.310 ± 2.111
0.665 ± 0.008,65.895 ± 2.803
0.668 ± 0.010,66.822 ± 2.117
0.709 ± 0.016,70.777 ± 2.421
0.715 ± 0.018,71.223 ± 1.957
0.714 ± 0.017,71.266 ± 2.031
0.706 ± 0.015,70.470 ± 2.554
0.703 ± 0.015,70.594 ± 2.137
0.707 ± 0.017,70.914 ± 1.950
