0.724 ± 0.053,70.811 ± 7.232
0.649 ± 0.051,67.568 ± 6.943
0.654 ± 0.046,67.838 ± 6.778
0.656 ± 0.042,67.838 ± 8.149
0.661 ± 0.052,66.757 ± 6.515
0.671 ± 0.050,68.108 ± 7.332
0.686 ± 0.067,68.378 ± 7.456
0.766 ± 0.063,75.135 ± 8.699
0.788 ± 0.060,74.324 ± 6.970
0.788 ± 0.040,74.865 ± 5.412
0.785 ± 0.060,74.324 ± 4.400
0.778 ± 0.074,76.216 ± 5.241
0.773 ± 0.067,74.595 ± 7.470
0.724 ± 0.060,72.703 ± 7.782
0.751 ± 0.049,73.784 ± 8.804
0.769 ± 0.041,74.324 ± 7.475
0.719 ± 0.057,70.000 ± 8.670
0.759 ± 0.071,72.432 ± 8.180
0.742 ± 0.072,71.892 ± 7.171
0.653 ± 0.049,68.108 ± 7.907
0.695 ± 0.060,68.378 ± 7.357
0.727 ± 0.059,70.270 ± 8.799
0.680 ± 0.085,67.297 ± 7.397
0.683 ± 0.065,69.189 ± 8.391
0.720 ± 0.066,68.919 ± 7.949
0.664 ± 0.047,67.568 ± 6.837
0.658 ± 0.047,67.568 ± 8.461
0.656 ± 0.053,66.486 ± 5.565
0.654 ± 0.053,67.838 ± 8.238
0.651 ± 0.044,67.027 ± 8.444
0.656 ± 0.042,67.027 ± 8.090
0.837 ± 0.070,80.541 ± 6.708
0.861 ± 0.041,83.784 ± 6.396
0.859 ± 0.036,83.784 ± 4.187
0.851 ± 0.050,82.973 ± 3.429
0.832 ± 0.036,82.973 ± 4.689
0.822 ± 0.040,80.541 ± 3.972
0.853 ± 0.047,84.324 ± 7.431
0.854 ± 0.054,82.162 ± 6.531
0.849 ± 0.058,84.054 ± 6.447
0.851 ± 0.059,82.162 ± 6.187
0.837 ± 0.049,80.811 ± 5.049
0.834 ± 0.033,83.243 ± 7.720
0.846 ± 0.049,82.162 ± 7.372
0.839 ± 0.054,81.622 ± 8.090
0.847 ± 0.051,83.784 ± 6.837
0.793 ± 0.066,77.568 ± 7.357
0.834 ± 0.049,81.622 ± 5.241
0.834 ± 0.039,82.703 ± 5.296
0.780 ± 0.053,76.216 ± 8.530
0.837 ± 0.056,80.000 ± 8.980
0.842 ± 0.051,82.432 ± 7.668
0.753 ± 0.074,74.054 ± 9.533
0.792 ± 0.076,77.297 ± 7.663
0.820 ± 0.046,80.000 ± 6.964
0.831 ± 0.057,81.351 ± 5.049
0.807 ± 0.071,80.270 ± 6.401
0.832 ± 0.057,80.811 ± 5.853
0.786 ± 0.094,78.649 ± 7.397
0.842 ± 0.037,82.432 ± 4.400
