0.762 ± 0.015,78.136 ± 0.760
0.761 ± 0.016,77.939 ± 1.309
0.755 ± 0.020,77.061 ± 1.514
0.764 ± 0.017,78.355 ± 0.971
0.765 ± 0.016,78.355 ± 1.309
0.760 ± 0.018,77.741 ± 1.238
0.761 ± 0.015,78.114 ± 0.808
0.762 ± 0.013,77.851 ± 1.294
0.755 ± 0.017,77.171 ± 1.261
0.769 ± 0.013,78.509 ± 1.000
0.771 ± 0.012,78.618 ± 1.025
0.767 ± 0.013,78.224 ± 0.809
0.773 ± 0.014,78.904 ± 1.180
0.771 ± 0.014,78.838 ± 1.298
0.770 ± 0.014,78.728 ± 1.047
0.736 ± 0.025,74.934 ± 2.131
0.732 ± 0.024,74.518 ± 1.966
0.714 ± 0.027,72.105 ± 2.987
0.756 ± 0.019,76.952 ± 1.124
0.754 ± 0.020,76.667 ± 0.977
0.744 ± 0.023,75.526 ± 1.887
0.755 ± 0.018,76.952 ± 1.273
0.749 ± 0.020,75.680 ± 1.841
0.743 ± 0.021,75.132 ± 1.615
0.756 ± 0.022,77.215 ± 1.072
0.756 ± 0.021,76.754 ± 1.061
0.740 ± 0.022,75.570 ± 2.127
0.777 ± 0.019,78.860 ± 1.057
0.773 ± 0.017,78.772 ± 0.808
0.767 ± 0.018,78.092 ± 1.049
0.763 ± 0.019,78.158 ± 1.317
0.762 ± 0.018,78.311 ± 1.195
0.757 ± 0.017,76.908 ± 1.070
0.786 ± 0.017,79.605 ± 1.088
0.784 ± 0.018,79.496 ± 1.011
0.777 ± 0.017,79.101 ± 0.910
0.780 ± 0.017,79.320 ± 1.123
0.780 ± 0.017,79.101 ± 1.075
0.775 ± 0.019,78.816 ± 1.039
0.707 ± 0.034,71.952 ± 2.669
0.691 ± 0.035,69.868 ± 3.134
0.675 ± 0.022,68.421 ± 2.208
0.749 ± 0.023,76.425 ± 1.573
0.739 ± 0.023,75.066 ± 1.665
0.724 ± 0.028,73.246 ± 2.308
0.750 ± 0.012,75.877 ± 1.659
0.739 ± 0.013,75.022 ± 1.610
0.738 ± 0.013,75.044 ± 1.525
0.750 ± 0.022,76.338 ± 1.583
0.739 ± 0.022,75.789 ± 1.747
0.717 ± 0.029,72.917 ± 2.176
0.772 ± 0.015,78.575 ± 0.680
0.768 ± 0.016,78.246 ± 0.854
0.758 ± 0.017,77.127 ± 0.773
0.760 ± 0.018,77.412 ± 0.809
0.756 ± 0.018,77.083 ± 0.967
0.748 ± 0.015,76.250 ± 0.981
0.778 ± 0.015,79.189 ± 0.885
0.778 ± 0.019,78.772 ± 0.919
0.773 ± 0.016,78.509 ± 1.241
0.778 ± 0.015,78.947 ± 1.079
0.775 ± 0.019,78.860 ± 1.030
0.770 ± 0.015,78.640 ± 1.110
0.698 ± 0.042,69.956 ± 4.093
0.689 ± 0.036,68.728 ± 4.066
0.653 ± 0.037,66.118 ± 4.132
0.738 ± 0.035,75.154 ± 3.155
0.726 ± 0.036,73.772 ± 3.053
0.708 ± 0.042,72.018 ± 3.238
0.744 ± 0.021,74.956 ± 2.197
0.740 ± 0.015,74.518 ± 2.794
0.723 ± 0.015,73.268 ± 2.006
0.744 ± 0.028,76.162 ± 2.329
0.729 ± 0.040,73.904 ± 3.297
0.708 ± 0.035,71.645 ± 3.642
0.763 ± 0.016,77.851 ± 1.014
0.764 ± 0.017,77.281 ± 0.780
0.751 ± 0.015,76.667 ± 1.412
0.758 ± 0.018,76.798 ± 1.534
