0.694 ± 0.066,70.592 ± 7.597
0.681 ± 0.065,69.276 ± 7.203
0.681 ± 0.069,69.101 ± 7.211
0.741 ± 0.028,75.921 ± 3.056
0.742 ± 0.028,75.285 ± 3.010
0.732 ± 0.026,74.145 ± 2.455
0.730 ± 0.036,74.693 ± 4.532
0.732 ± 0.041,74.868 ± 4.842
0.720 ± 0.043,73.202 ± 4.737
0.754 ± 0.016,76.754 ± 1.428
0.753 ± 0.017,77.237 ± 1.629
0.743 ± 0.022,75.504 ± 1.894
0.751 ± 0.020,76.908 ± 1.425
0.747 ± 0.021,76.316 ± 1.768
0.740 ± 0.021,75.504 ± 2.180
0.694 ± 0.069,70.373 ± 7.527
0.686 ± 0.068,69.189 ± 7.377
0.691 ± 0.031,70.110 ± 3.435
0.633 ± 0.104,63.991 ± 11.184
0.640 ± 0.101,65.000 ± 10.421
0.690 ± 0.094,70.526 ± 10.210
0.714 ± 0.043,72.873 ± 4.592
0.710 ± 0.041,71.952 ± 4.400
0.686 ± 0.016,69.934 ± 2.369
0.711 ± 0.062,72.632 ± 6.561
0.712 ± 0.052,72.807 ± 5.581
0.673 ± 0.048,68.816 ± 5.232
0.732 ± 0.023,74.518 ± 1.961
0.726 ± 0.017,74.320 ± 1.700
0.718 ± 0.012,72.654 ± 1.719
0.737 ± 0.036,74.868 ± 3.466
0.727 ± 0.040,74.079 ± 3.840
0.696 ± 0.033,70.811 ± 3.793
0.752 ± 0.015,76.886 ± 1.186
0.749 ± 0.013,76.272 ± 1.180
0.741 ± 0.010,75.702 ± 1.055
0.752 ± 0.017,76.711 ± 1.427
0.747 ± 0.020,76.228 ± 1.202
0.733 ± 0.020,74.693 ± 1.636
0.650 ± 0.043,65.592 ± 5.434
0.644 ± 0.041,66.140 ± 4.804
0.639 ± 0.029,65.154 ± 4.747
0.717 ± 0.054,73.399 ± 5.150
0.697 ± 0.053,71.425 ± 5.530
0.711 ± 0.045,72.325 ± 4.324
0.678 ± 0.017,69.276 ± 2.524
0.683 ± 0.018,69.276 ± 3.017
0.674 ± 0.015,68.904 ± 3.013
0.699 ± 0.058,70.811 ± 5.786
0.674 ± 0.040,68.246 ± 4.489
0.637 ± 0.032,64.846 ± 3.597
0.717 ± 0.013,73.596 ± 1.230
0.717 ± 0.014,72.982 ± 1.441
0.712 ± 0.013,72.807 ± 1.684
0.703 ± 0.045,70.702 ± 4.291
0.688 ± 0.025,69.452 ± 3.369
0.670 ± 0.017,67.719 ± 2.622
0.747 ± 0.014,75.746 ± 1.230
0.743 ± 0.015,75.702 ± 1.009
0.740 ± 0.009,75.197 ± 1.098
0.737 ± 0.011,74.890 ± 1.048
0.727 ± 0.014,73.706 ± 1.389
0.719 ± 0.014,73.333 ± 1.501
0.660 ± 0.057,66.118 ± 6.614
0.657 ± 0.051,66.250 ± 5.817
0.655 ± 0.037,66.360 ± 4.496
0.682 ± 0.104,69.167 ± 10.769
0.640 ± 0.110,63.925 ± 11.887
0.699 ± 0.049,70.965 ± 3.908
0.705 ± 0.039,70.548 ± 4.096
0.690 ± 0.036,69.430 ± 3.290
0.684 ± 0.021,68.816 ± 3.453
0.723 ± 0.067,74.189 ± 5.742
0.709 ± 0.056,72.039 ± 5.524
0.696 ± 0.056,70.263 ± 5.268
0.735 ± 0.031,74.803 ± 2.383
0.715 ± 0.029,72.259 ± 3.041
0.693 ± 0.030,69.890 ± 3.458
0.744 ± 0.039,75.833 ± 3.728
0.733 ± 0.032,74.759 ± 2.954
0.712 ± 0.032,71.996 ± 2.978
0.740 ± 0.023,75.965 ± 1.749
