0.769 ± 0.074,75.405 ± 8.670
0.769 ± 0.064,74.054 ± 8.391
0.759 ± 0.083,73.784 ± 9.444
0.763 ± 0.082,74.865 ± 8.636
0.758 ± 0.070,74.865 ± 7.649
0.773 ± 0.061,75.405 ± 8.413
0.775 ± 0.055,74.595 ± 7.852
0.771 ± 0.062,74.595 ± 8.564
0.753 ± 0.073,74.865 ± 9.288
0.753 ± 0.075,73.784 ± 8.551
0.753 ± 0.072,74.054 ± 8.216
0.775 ± 0.059,75.405 ± 9.241
0.775 ± 0.063,74.865 ± 7.744
0.778 ± 0.061,75.676 ± 8.286
0.763 ± 0.070,75.405 ± 8.670
0.769 ± 0.069,75.405 ± 9.552
0.761 ± 0.074,74.324 ± 10.131
0.786 ± 0.096,77.838 ± 8.444
0.819 ± 0.053,80.541 ± 5.378
0.785 ± 0.117,78.108 ± 8.670
0.790 ± 0.112,79.730 ± 9.145
0.819 ± 0.056,81.622 ± 5.512
0.778 ± 0.109,78.108 ± 8.413
0.829 ± 0.054,81.892 ± 6.049
0.829 ± 0.064,81.351 ± 6.559
0.827 ± 0.051,80.000 ± 6.304
0.829 ± 0.062,79.189 ± 7.456
0.805 ± 0.066,79.189 ± 7.930
0.814 ± 0.055,78.649 ± 7.094
0.849 ± 0.057,81.892 ± 5.135
0.834 ± 0.056,81.622 ± 4.490
0.819 ± 0.063,81.892 ± 5.927
0.831 ± 0.063,80.270 ± 6.515
0.815 ± 0.069,81.081 ± 6.163
0.803 ± 0.060,79.189 ± 7.553
0.836 ± 0.059,82.162 ± 5.946
0.837 ± 0.047,82.432 ± 4.400
0.824 ± 0.050,82.432 ± 4.720
0.822 ± 0.066,81.081 ± 4.984
0.814 ± 0.057,80.270 ± 6.735
0.819 ± 0.063,81.081 ± 5.797
0.783 ± 0.113,79.189 ± 9.673
0.764 ± 0.110,76.486 ± 10.401
0.759 ± 0.108,76.486 ± 8.720
0.793 ± 0.111,78.649 ± 8.670
0.819 ± 0.053,80.541 ± 5.241
0.808 ± 0.051,80.541 ± 5.378
0.839 ± 0.059,81.622 ± 6.019
