0.800 ± 0.028,80.392 ± 2.773
0.809 ± 0.027,81.176 ± 3.063
0.799 ± 0.028,80.392 ± 2.908
0.792 ± 0.032,80.392 ± 2.631
0.792 ± 0.031,79.608 ± 3.419
0.799 ± 0.028,80.392 ± 2.773
0.796 ± 0.028,80.980 ± 3.287
0.796 ± 0.030,81.176 ± 3.842
0.804 ± 0.029,81.373 ± 2.667
0.796 ± 0.030,80.980 ± 2.638
0.793 ± 0.031,80.392 ± 3.396
0.801 ± 0.025,81.373 ± 3.424
0.799 ± 0.027,81.373 ± 3.424
0.799 ± 0.028,81.765 ± 3.287
0.799 ± 0.026,81.176 ± 2.353
0.796 ± 0.034,81.765 ± 3.168
0.795 ± 0.029,80.196 ± 3.767
0.798 ± 0.027,81.961 ± 3.902
0.798 ± 0.026,80.784 ± 3.594
0.799 ± 0.029,81.569 ± 3.741
0.799 ± 0.030,81.961 ± 2.449
0.796 ± 0.027,81.176 ± 3.304
0.799 ± 0.026,81.373 ± 3.847
0.783 ± 0.035,79.216 ± 3.741
0.794 ± 0.029,80.392 ± 3.508
0.793 ± 0.035,81.373 ± 3.310
0.789 ± 0.036,79.020 ± 3.287
0.785 ± 0.033,79.216 ± 3.637
0.787 ± 0.029,79.020 ± 3.168
0.782 ± 0.031,79.412 ± 4.661
0.778 ± 0.031,79.216 ± 4.819
0.796 ± 0.032,80.784 ± 3.902
0.786 ± 0.037,79.608 ± 3.186
0.786 ± 0.031,80.000 ± 3.902
0.781 ± 0.024,78.824 ± 3.486
0.779 ± 0.029,79.804 ± 4.807
0.778 ± 0.033,79.608 ± 3.842
0.796 ± 0.030,80.784 ± 4.094
0.783 ± 0.029,79.608 ± 4.402
0.781 ± 0.036,79.608 ± 3.637
0.786 ± 0.035,79.216 ± 3.941
0.789 ± 0.035,79.608 ± 4.402
0.785 ± 0.030,79.020 ± 4.644
0.789 ± 0.030,79.608 ± 4.224
0.787 ± 0.026,80.000 ± 4.623
0.788 ± 0.029,80.000 ± 4.187
0.784 ± 0.035,80.392 ± 4.113
0.845 ± 0.043,85.882 ± 3.802
0.845 ± 0.044,85.294 ± 4.136
0.834 ± 0.045,85.098 ± 4.038
0.836 ± 0.045,84.902 ± 3.827
0.841 ± 0.043,84.314 ± 4.296
0.825 ± 0.043,83.333 ± 3.310
0.850 ± 0.039,85.686 ± 3.513
0.845 ± 0.046,84.902 ± 3.827
0.840 ± 0.048,85.294 ± 4.228
0.833 ± 0.053,85.490 ± 3.063
0.830 ± 0.045,84.902 ± 3.168
0.825 ± 0.046,83.137 ± 3.304
0.847 ± 0.049,86.471 ± 2.549
0.842 ± 0.040,86.078 ± 2.549
0.843 ± 0.037,84.902 ± 3.827
0.839 ± 0.045,85.490 ± 3.529
0.836 ± 0.044,84.510 ± 3.767
0.829 ± 0.040,84.118 ± 2.835
0.846 ± 0.046,86.275 ± 2.908
0.843 ± 0.044,85.686 ± 3.402
0.833 ± 0.042,85.098 ± 3.186
0.844 ± 0.045,86.275 ± 3.616
0.835 ± 0.048,85.098 ± 3.741
0.835 ± 0.047,84.510 ± 2.696
0.845 ± 0.045,86.078 ± 2.835
0.842 ± 0.048,85.098 ± 3.419
0.831 ± 0.040,84.314 ± 3.162
0.836 ± 0.048,84.902 ± 3.621
0.834 ± 0.035,84.314 ± 3.281
0.826 ± 0.042,83.725 ± 3.513
0.843 ± 0.050,86.078 ± 3.333
0.840 ± 0.051,85.098 ± 3.186
0.838 ± 0.044,84.314 ± 3.616
0.829 ± 0.041,83.922 ± 3.902
0.828 ± 0.040,84.314 ± 3.720
0.831 ± 0.046,83.922 ± 3.373
0.847 ± 0.043,85.882 ± 3.373
0.846 ± 0.047,85.294 ± 2.941
0.836 ± 0.048,84.510 ± 3.663
0.834 ± 0.042,84.902 ± 3.044
0.834 ± 0.040,84.510 ± 3.557
0.833 ± 0.043,84.118 ± 3.447
0.850 ± 0.043,86.667 ± 3.373
0.845 ± 0.043,85.882 ± 2.112
0.836 ± 0.044,85.294 ± 3.069
0.838 ± 0.044,85.882 ± 3.137
0.834 ± 0.038,84.118 ± 3.333
0.833 ± 0.041,83.333 ± 3.424
0.850 ± 0.044,85.294 ± 3.847
0.836 ± 0.042,84.902 ± 3.621
0.830 ± 0.043,84.118 ± 4.155
0.835 ± 0.044,85.490 ± 3.419
0.830 ± 0.038,84.510 ± 3.333
0.828 ± 0.044,83.922 ± 3.594
