0.781 ± 0.076,73.784 ± 5.135
0.778 ± 0.081,74.324 ± 5.303
0.768 ± 0.080,73.784 ± 5.927
0.775 ± 0.082,74.324 ± 5.303
0.771 ± 0.081,74.595 ± 5.013
0.764 ± 0.067,73.784 ± 5.545
0.773 ± 0.072,74.054 ± 5.013
0.776 ± 0.069,74.324 ± 4.720
0.764 ± 0.069,73.243 ± 5.853
0.773 ± 0.080,73.784 ± 5.545
0.776 ± 0.078,74.324 ± 5.164
0.797 ± 0.056,77.297 ± 5.432
0.788 ± 0.075,76.757 ± 4.865
0.790 ± 0.067,75.405 ± 4.902
0.793 ± 0.076,75.676 ± 5.128
0.786 ± 0.080,76.216 ± 5.378
0.778 ± 0.086,76.216 ± 5.378
0.793 ± 0.057,76.486 ± 5.412
0.800 ± 0.054,77.297 ± 5.565
0.795 ± 0.063,75.676 ± 4.835
0.795 ± 0.073,76.486 ± 5.135
0.785 ± 0.075,75.676 ± 5.128
0.783 ± 0.083,76.216 ± 4.650
0.790 ± 0.059,76.757 ± 5.432
0.795 ± 0.076,76.757 ± 5.432
0.798 ± 0.060,75.405 ± 5.049
0.793 ± 0.068,76.216 ± 4.954
0.788 ± 0.078,75.676 ± 5.128
0.786 ± 0.075,75.405 ± 4.751
0.786 ± 0.061,76.757 ± 5.013
0.795 ± 0.060,76.216 ± 5.099
0.802 ± 0.065,75.946 ± 4.595
0.790 ± 0.063,76.486 ± 5.275
0.786 ± 0.070,76.486 ± 4.842
0.790 ± 0.067,75.946 ± 5.192
0.771 ± 0.076,74.595 ± 5.296
0.773 ± 0.077,74.324 ± 5.572
0.778 ± 0.076,75.676 ± 5.405
0.769 ± 0.079,74.865 ± 5.135
0.771 ± 0.082,74.324 ± 5.020
0.773 ± 0.081,74.324 ± 5.303
0.768 ± 0.068,74.595 ± 4.045
0.775 ± 0.079,74.595 ± 5.156
0.768 ± 0.080,74.324 ± 4.720
0.769 ± 0.084,74.595 ± 5.822
0.778 ± 0.086,75.135 ± 4.954
0.773 ± 0.079,74.324 ± 5.164
0.775 ± 0.073,74.324 ± 5.020
0.773 ± 0.070,74.054 ± 4.391
0.778 ± 0.079,74.865 ± 4.991
0.775 ± 0.077,73.784 ± 5.803
0.775 ± 0.073,74.324 ± 5.020
0.775 ± 0.080,74.324 ± 5.572
0.773 ± 0.063,74.324 ± 4.400
0.775 ± 0.074,74.865 ± 5.135
0.775 ± 0.068,74.324 ± 4.872
0.769 ± 0.071,74.054 ± 6.068
0.771 ± 0.085,73.784 ± 5.676
0.773 ± 0.078,74.054 ± 5.822
0.856 ± 0.050,84.865 ± 6.187
0.846 ± 0.051,83.243 ± 5.512
0.842 ± 0.057,82.703 ± 6.187
0.842 ± 0.063,83.514 ± 5.598
0.829 ± 0.066,81.622 ± 5.378
0.814 ± 0.078,80.000 ± 6.751
0.856 ± 0.047,84.595 ± 3.429
0.849 ± 0.056,84.324 ± 6.486
0.837 ± 0.062,82.703 ± 6.531
0.841 ± 0.062,83.514 ± 5.192
0.837 ± 0.059,82.432 ± 4.872
0.820 ± 0.076,81.081 ± 6.837
0.856 ± 0.053,84.595 ± 5.676
0.837 ± 0.069,84.054 ± 7.592
0.837 ± 0.074,82.162 ± 6.068
0.834 ± 0.074,82.703 ± 7.068
0.832 ± 0.058,82.973 ± 6.286
0.832 ± 0.065,80.811 ± 6.670
0.839 ± 0.073,84.324 ± 4.650
0.844 ± 0.055,82.432 ± 5.701
0.834 ± 0.064,82.703 ± 7.272
0.844 ± 0.060,83.514 ± 5.977
0.831 ± 0.067,82.973 ± 7.053
0.832 ± 0.078,80.811 ± 5.466
0.849 ± 0.040,84.324 ± 6.139
0.841 ± 0.059,83.784 ± 5.539
0.851 ± 0.052,82.432 ± 7.074
0.837 ± 0.057,82.973 ± 5.676
0.836 ± 0.061,81.892 ± 6.949
0.836 ± 0.054,81.622 ± 6.708
0.861 ± 0.045,85.405 ± 6.419
0.846 ± 0.057,84.324 ± 6.486
0.842 ± 0.052,83.514 ± 7.197
0.839 ± 0.059,83.784 ± 4.984
