0.822 ± 0.056,81.892 ± 8.551
0.808 ± 0.074,77.838 ± 10.998
0.810 ± 0.065,80.811 ± 9.475
0.829 ± 0.056,81.892 ± 7.838
0.822 ± 0.077,81.081 ± 8.547
0.837 ± 0.061,82.973 ± 8.291
0.824 ± 0.069,83.243 ± 6.708
0.825 ± 0.080,80.270 ± 10.610
0.822 ± 0.072,80.541 ± 8.530
0.812 ± 0.065,80.541 ± 7.027
0.797 ± 0.084,79.459 ± 8.216
0.824 ± 0.064,80.000 ± 7.758
0.814 ± 0.082,81.351 ± 7.687
0.805 ± 0.064,81.622 ± 8.866
0.788 ± 0.070,77.568 ± 7.456
0.795 ± 0.073,78.108 ± 7.687
0.790 ± 0.070,80.270 ± 7.357
0.795 ± 0.087,78.378 ± 7.252
0.793 ± 0.079,79.459 ± 7.470
0.785 ± 0.084,77.838 ± 7.720
0.781 ± 0.070,78.378 ± 6.509
0.780 ± 0.061,78.108 ± 7.687
0.729 ± 0.089,72.162 ± 8.465
0.737 ± 0.075,70.811 ± 7.625
0.739 ± 0.069,71.081 ± 6.949
0.751 ± 0.085,72.432 ± 8.615
0.756 ± 0.084,71.892 ± 8.304
0.747 ± 0.071,71.351 ± 7.171
0.729 ± 0.078,70.270 ± 6.837
0.722 ± 0.082,69.730 ± 7.130
0.727 ± 0.080,72.162 ± 6.626
0.741 ± 0.081,71.892 ± 7.568
0.727 ± 0.085,70.811 ± 8.530
0.725 ± 0.062,70.270 ± 7.048
0.700 ± 0.073,68.108 ± 7.027
0.707 ± 0.074,68.649 ± 7.068
0.712 ± 0.068,68.649 ± 6.859
0.712 ± 0.072,70.270 ± 7.644
0.727 ± 0.086,70.000 ± 7.687
0.710 ± 0.076,70.270 ± 7.548
0.707 ± 0.076,68.919 ± 6.864
0.710 ± 0.070,68.378 ± 6.626
0.719 ± 0.074,70.541 ± 6.216
0.707 ± 0.075,69.459 ± 6.949
0.702 ± 0.072,68.649 ± 7.568
0.705 ± 0.073,69.189 ± 7.272
0.781 ± 0.067,74.054 ± 6.187
0.786 ± 0.076,75.405 ± 6.333
0.792 ± 0.065,75.946 ± 7.094
0.747 ± 0.070,72.703 ± 8.919
0.769 ± 0.085,73.784 ± 8.113
0.773 ± 0.081,72.973 ± 6.837
0.800 ± 0.063,77.838 ± 5.512
0.798 ± 0.066,77.027 ± 6.424
0.790 ± 0.068,74.595 ± 6.964
0.780 ± 0.073,74.595 ± 6.859
0.780 ± 0.075,74.865 ± 7.257
0.783 ± 0.074,74.054 ± 7.372
0.785 ± 0.067,75.135 ± 7.130
0.783 ± 0.073,76.216 ± 8.090
0.763 ± 0.087,74.865 ± 7.456
0.785 ± 0.069,74.595 ± 6.531
0.793 ± 0.064,75.946 ± 5.466
0.773 ± 0.064,74.054 ± 6.642
0.758 ± 0.097,75.135 ± 8.444
0.764 ± 0.085,73.784 ± 8.378
0.747 ± 0.080,72.973 ± 7.451
0.764 ± 0.072,72.703 ± 8.754
0.753 ± 0.091,72.432 ± 8.444
0.739 ± 0.076,72.432 ± 7.999
0.753 ± 0.083,73.243 ± 8.413
0.732 ± 0.074,70.811 ± 7.625
0.734 ± 0.063,71.081 ± 6.626
