0.731 ± 0.011,73.662 ± 2.187
0.799 ± 0.011,79.356 ± 2.342
0.800 ± 0.011,80.060 ± 2.351
0.805 ± 0.010,80.101 ± 2.330
0.748 ± 0.011,75.111 ± 1.842
0.755 ± 0.009,75.795 ± 2.301
0.762 ± 0.012,76.539 ± 2.280
0.711 ± 0.009,71.167 ± 1.883
0.713 ± 0.011,71.469 ± 2.222
0.718 ± 0.010,72.394 ± 1.977
0.692 ± 0.009,69.457 ± 2.114
0.696 ± 0.009,69.678 ± 2.347
0.700 ± 0.008,70.080 ± 1.974
0.732 ± 0.016,73.541 ± 1.911
0.735 ± 0.014,73.924 ± 2.044
0.741 ± 0.011,74.004 ± 2.545
0.695 ± 0.011,69.658 ± 2.271
0.698 ± 0.009,69.759 ± 1.982
0.701 ± 0.011,70.644 ± 2.203
0.760 ± 0.012,76.177 ± 2.093
0.760 ± 0.016,76.378 ± 2.232
0.769 ± 0.011,77.022 ± 2.397
0.716 ± 0.012,72.052 ± 2.210
0.718 ± 0.013,72.012 ± 2.015
0.725 ± 0.013,72.676 ± 1.948
0.777 ± 0.015,78.089 ± 2.543
0.775 ± 0.013,78.229 ± 2.677
0.778 ± 0.015,77.646 ± 2.117
0.735 ± 0.013,73.924 ± 2.201
0.744 ± 0.012,74.588 ± 2.348
0.747 ± 0.011,74.447 ± 2.184
0.708 ± 0.010,70.865 ± 2.016
0.714 ± 0.010,71.288 ± 2.131
0.720 ± 0.012,72.052 ± 1.685
0.689 ± 0.013,68.873 ± 1.924
0.693 ± 0.010,68.994 ± 1.836
0.698 ± 0.010,69.738 ± 2.195
0.740 ± 0.012,73.924 ± 2.029
0.739 ± 0.015,74.547 ± 1.890
0.748 ± 0.011,74.608 ± 2.274
0.695 ± 0.013,69.598 ± 1.974
0.698 ± 0.011,69.779 ± 2.121
0.704 ± 0.008,70.744 ± 2.287
0.771 ± 0.016,77.103 ± 2.368
0.776 ± 0.013,77.686 ± 2.249
0.778 ± 0.012,77.807 ± 2.083
0.723 ± 0.014,72.596 ± 2.182
0.724 ± 0.012,72.958 ± 1.903
0.729 ± 0.014,73.521 ± 1.905
0.797 ± 0.009,79.759 ± 1.873
0.798 ± 0.010,79.799 ± 2.162
0.801 ± 0.007,79.698 ± 2.134
0.746 ± 0.013,74.447 ± 1.795
0.754 ± 0.013,75.674 ± 1.901
0.762 ± 0.013,76.439 ± 2.111
0.723 ± 0.011,71.791 ± 2.490
0.730 ± 0.009,72.354 ± 1.784
0.731 ± 0.010,72.656 ± 2.055
0.709 ± 0.009,71.127 ± 1.862
0.711 ± 0.011,71.650 ± 2.067
0.716 ± 0.011,72.113 ± 1.966
0.736 ± 0.011,73.581 ± 2.833
0.738 ± 0.013,73.541 ± 2.651
0.738 ± 0.012,74.004 ± 2.195
0.709 ± 0.011,71.227 ± 1.911
0.712 ± 0.009,71.710 ± 2.298
