0.788 ± 0.042,76.486 ± 6.049
0.793 ± 0.060,76.216 ± 5.378
0.798 ± 0.050,76.486 ± 4.689
0.793 ± 0.057,76.486 ± 5.275
0.797 ± 0.050,77.297 ± 4.555
0.786 ± 0.054,76.486 ± 5.803
0.798 ± 0.054,75.405 ± 5.853
0.790 ± 0.056,75.946 ± 6.098
0.800 ± 0.066,75.946 ± 5.331
0.790 ± 0.058,76.486 ± 5.412
0.795 ± 0.058,76.757 ± 5.296
0.776 ± 0.069,74.595 ± 5.432
0.792 ± 0.057,76.216 ± 4.324
0.775 ± 0.054,74.595 ± 6.751
0.790 ± 0.053,75.946 ± 5.466
0.792 ± 0.067,74.865 ± 5.676
0.792 ± 0.061,76.216 ± 5.771
0.856 ± 0.032,84.324 ± 4.152
0.856 ± 0.037,83.514 ± 4.433
0.829 ± 0.048,82.703 ± 4.391
0.846 ± 0.043,82.703 ± 4.391
0.832 ± 0.047,81.622 ± 4.152
0.829 ± 0.048,81.622 ± 4.324
0.858 ± 0.038,83.243 ± 3.586
0.854 ± 0.042,83.243 ± 4.490
0.841 ± 0.040,83.514 ± 4.902
0.847 ± 0.036,82.703 ± 4.391
0.839 ± 0.049,82.973 ± 4.531
0.829 ± 0.044,80.811 ± 3.299
0.859 ± 0.039,85.135 ± 4.054
0.854 ± 0.050,84.324 ± 4.324
0.841 ± 0.041,84.054 ± 4.265
0.853 ± 0.053,83.243 ± 4.650
0.836 ± 0.043,82.703 ± 4.222
0.836 ± 0.041,81.892 ± 4.366
0.847 ± 0.042,85.135 ± 3.472
0.842 ± 0.046,85.405 ± 4.045
0.825 ± 0.054,83.784 ± 4.358
0.847 ± 0.037,84.865 ± 4.865
0.834 ± 0.042,83.784 ± 4.681
0.836 ± 0.046,81.892 ± 4.531
0.847 ± 0.038,84.324 ± 4.324
0.853 ± 0.037,83.514 ± 4.265
0.839 ± 0.033,83.784 ± 4.358
0.837 ± 0.033,83.784 ± 4.984
0.832 ± 0.029,83.784 ± 4.522
0.825 ± 0.050,82.162 ± 4.865
0.853 ± 0.026,84.054 ± 3.299
0.847 ± 0.039,84.595 ± 4.018
0.839 ± 0.033,84.595 ± 4.366
0.842 ± 0.027,82.703 ± 4.391
0.836 ± 0.036,83.514 ± 5.049
0.827 ± 0.038,81.622 ± 4.152
0.849 ± 0.033,84.324 ± 4.152
0.858 ± 0.034,84.595 ± 3.209
0.849 ± 0.030,85.135 ± 4.720
0.844 ± 0.028,83.784 ± 4.009
0.844 ± 0.040,82.973 ± 4.842
0.831 ± 0.044,81.351 ± 3.907
0.842 ± 0.038,85.405 ± 3.860
0.858 ± 0.042,83.514 ± 4.265
0.837 ± 0.047,84.324 ± 4.954
0.842 ± 0.037,84.054 ± 4.090
0.853 ± 0.036,83.243 ± 3.586
0.829 ± 0.043,82.432 ± 3.676
0.861 ± 0.039,83.514 ± 4.090
0.858 ± 0.046,83.514 ± 4.433
0.836 ± 0.042,81.892 ± 4.689
0.839 ± 0.033,82.703 ± 5.013
0.837 ± 0.031,82.432 ± 4.054
0.829 ± 0.043,80.270 ± 4.196
0.851 ± 0.043,84.054 ± 3.514
0.842 ± 0.048,84.865 ± 5.156
0.842 ± 0.047,82.432 ± 3.254
0.851 ± 0.039,83.784 ± 4.681
0.841 ± 0.041,82.703 ± 4.391
0.827 ± 0.042,81.622 ± 4.324
0.849 ± 0.040,84.865 ± 4.391
0.849 ± 0.046,84.595 ± 3.832
0.836 ± 0.046,83.514 ± 4.265
0.859 ± 0.042,83.243 ± 3.972
0.841 ± 0.046,81.892 ± 4.366
0.825 ± 0.050,81.081 ± 4.009
0.858 ± 0.042,85.135 ± 4.230
0.844 ± 0.047,83.514 ± 4.433
0.829 ± 0.055,84.865 ± 3.461
0.841 ± 0.039,84.054 ± 4.433
0.841 ± 0.042,82.703 ± 3.860
0.825 ± 0.055,83.514 ± 4.433
0.878 ± 0.036,84.324 ± 3.784
0.864 ± 0.042,84.865 ± 4.222
0.834 ± 0.089,82.162 ± 11.916
0.827 ± 0.092,81.081 ± 11.530
0.820 ± 0.100,81.081 ± 11.403
0.814 ± 0.099,80.811 ± 12.114
0.869 ± 0.042,83.243 ± 4.650
0.876 ± 0.044,83.784 ± 4.681
0.853 ± 0.046,84.865 ± 4.045
0.861 ± 0.042,84.595 ± 4.366
0.859 ± 0.044,84.324 ± 4.152
0.846 ± 0.043,84.324 ± 4.152
0.869 ± 0.044,85.135 ± 4.054
0.863 ± 0.048,84.054 ± 4.433
0.859 ± 0.041,84.865 ± 4.712
0.861 ± 0.046,84.595 ± 4.018
0.853 ± 0.056,85.405 ± 4.222
0.834 ± 0.039,83.784 ± 3.822
0.853 ± 0.046,85.676 ± 3.429
0.858 ± 0.041,84.324 ± 4.324
0.863 ± 0.040,85.135 ± 4.054
0.851 ± 0.051,84.595 ± 3.429
0.856 ± 0.042,84.324 ± 3.972
0.846 ± 0.046,84.054 ± 3.716
0.851 ± 0.088,82.703 ± 11.222
0.829 ± 0.107,81.892 ± 12.090
0.798 ± 0.148,78.649 ± 13.210
0.798 ± 0.130,78.378 ± 13.675
0.825 ± 0.087,80.811 ± 10.568
0.820 ± 0.100,81.081 ± 12.207
0.869 ± 0.032,85.135 ± 4.054
0.871 ± 0.040,85.676 ± 4.842
0.858 ± 0.043,84.595 ± 4.991
0.847 ± 0.040,84.324 ± 4.804
0.849 ± 0.037,85.135 ± 4.400
0.847 ± 0.037,84.054 ± 4.265
0.869 ± 0.033,85.946 ± 3.784
0.864 ± 0.042,85.135 ± 4.230
0.871 ± 0.044,84.054 ± 4.090
0.856 ± 0.040,84.595 ± 4.366
0.859 ± 0.039,85.405 ± 4.222
0.854 ± 0.042,84.324 ± 4.324
0.869 ± 0.040,85.405 ± 4.222
0.861 ± 0.037,86.216 ± 3.907
0.861 ± 0.039,85.135 ± 4.563
0.856 ± 0.042,85.135 ± 4.400
0.858 ± 0.039,84.324 ± 4.490
0.853 ± 0.033,83.784 ± 4.187
0.844 ± 0.108,81.081 ± 11.530
0.831 ± 0.106,81.081 ± 11.467
0.832 ± 0.095,81.622 ± 11.768
0.827 ± 0.093,80.270 ± 11.212
0.824 ± 0.095,81.081 ± 11.467
0.822 ± 0.103,82.162 ± 12.860
0.876 ± 0.037,84.595 ± 4.366
0.875 ± 0.041,84.054 ± 4.090
0.868 ± 0.049,84.865 ± 4.712
0.861 ± 0.041,84.865 ± 3.860
0.851 ± 0.043,85.946 ± 4.490
0.842 ± 0.042,84.865 ± 4.222
0.871 ± 0.039,85.405 ± 4.045
